FECHA,HORA,VAL,SUR,TAC,FAC,LLA,LPR,LVI,SAG,AZC,TLA,XAL,MER,PED,CES,HAN,ARA,TLI,ATI,VIF,TAH,LAG,PLA,UIZ,TAX
01/01/2006,1,20,10,10,-99,11,15,13,10,26,8,28,-99,9,5,15,14,23,20,26,12,10,9,11,-99
01/01/2006,2,22,11,16,-99,26,17,17,15,44,9,34,-99,9,8,14,17,30,8,24,11,12,11,12,-99
01/01/2006,3,22,12,17,-99,17,33,22,11,28,11,36,-99,9,6,14,17,27,7,34,10,9,11,10,-99
01/01/2006,4,21,13,13,-99,19,24,19,11,19,7,38,-99,9,7,15,17,26,7,29,11,8,9,11,-99
01/01/2006,5,23,11,10,-99,20,15,20,9,14,5,37,-99,8,6,15,14,26,7,25,9,11,6,10,-99
01/01/2006,6,18,9,7,-99,17,18,21,8,11,3,35,-99,8,4,15,11,24,5,21,8,11,5,9,-99
01/01/2006,7,17,10,7,-99,17,17,17,9,9,3,35,12,8,4,12,9,24,5,19,8,10,5,9,-99
01/01/2006,8,15,9,6,12,16,17,19,8,8,3,37,14,8,4,14,8,24,5,18,8,11,5,10,-99
01/01/2006,9,14,10,7,11,18,19,18,9,9,4,37,19,8,6,14,8,24,7,19,11,17,4,15,-99
01/01/2006,10,14,11,11,9,21,22,19,11,10,5,40,21,8,7,19,10,24,8,18,11,17,7,19,-99
01/01/2006,11,14,11,12,6,17,19,15,10,12,7,38,15,9,8,16,-99,24,9,18,9,13,9,14,-99
01/01/2006,12,15,11,8,1,14,17,14,-99,11,8,31,11,9,8,15,7,21,9,29,8,8,7,-99,-99
01/01/2006,13,12,12,7,2,14,14,13,-99,13,7,26,6,11,8,14,5,21,9,28,8,8,11,-99,-99
01/01/2006,14,10,10,6,3,14,13,11,-99,12,5,23,1,9,6,12,3,17,10,21,5,7,9,-99,-99
01/01/2006,15,10,8,5,2,11,12,10,-99,11,6,20,-99,7,4,-99,4,13,7,16,3,6,9,-99,-99
01/01/2006,16,7,8,3,0,10,10,9,-99,10,5,17,-99,6,3,10,3,12,5,14,3,6,6,-99,-99
