FECHA,HORA,ACO,AJM,ATI,BJU,CAM,CCA,CHO,CUA,CUT,FAC,HGM,INN,IZT,LLA,LPR,MER,MGH,MON,MPA,NEZ,PED,SAG,SFE,SJA,TAH,TLA,TLI,UAX,UIZ,VIF,XAL
01/01/2018,1,2,6,14,9,-99,6,-99,11,6,11,9,3,-99,7,6,8,9,4,3,6,8,8,7,-99,7,9,9,-99,8,7,5
01/01/2018,2,3,7,-99,9,-99,7,-99,10,29,11,10,3,-99,7,7,9,8,6,5,9,8,7,8,-99,8,11,10,-99,8,9,5
01/01/2018,3,3,6,24,10,-99,8,-99,8,55,11,11,4,-99,7,6,10,8,5,3,9,10,6,8,-99,7,19,18,-99,9,11,4
01/01/2018,4,3,6,67,13,-99,9,-99,8,65,48,22,4,-99,14,6,18,14,4,3,7,10,10,7,-99,5,53,32,-99,10,20,4
01/01/2018,5,4,6,86,39,-99,9,-99,8,14,33,58,2,-99,18,16,64,21,4,3,7,8,12,5,-99,5,115,40,-99,11,20,7
01/01/2018,6,2,10,66,69,-99,3,-99,6,5,29,110,2,-99,24,9,112,44,7,4,9,4,13,4,-99,5,93,30,-99,19,38,6
01/01/2018,7,2,21,28,85,-99,2,-99,7,4,23,75,2,-99,30,12,74,23,4,5,10,5,18,5,-99,6,62,40,-99,8,34,5
01/01/2018,8,1,23,12,66,-99,3,-99,8,3,17,65,2,-99,26,29,61,15,3,7,14,7,19,6,-99,5,35,38,-99,9,43,24
01/01/2018,9,1,13,18,49,-99,9,-99,22,9,-99,48,2,-99,47,45,51,27,4,11,14,12,33,26,-99,7,36,37,-99,17,49,30
01/01/2018,10,1,27,44,41,-99,28,-99,23,60,-99,42,6,-99,63,44,40,39,5,10,18,21,45,27,-99,13,57,56,-99,13,107,26
01/01/2018,11,2,26,37,40,-99,31,-99,19,49,38,43,10,-99,55,36,37,47,4,17,23,31,41,22,-99,24,49,49,-99,29,57,27
01/01/2018,12,2,26,35,39,-99,36,-99,20,57,28,34,11,-99,34,29,31,32,8,29,23,36,31,24,-99,20,42,48,-99,29,14,26
01/01/2018,13,1,30,25,27,-99,27,-99,19,44,25,31,12,-99,5,19,22,25,3,19,16,28,6,21,-99,20,30,18,-99,20,7,8
01/01/2018,14,1,22,22,25,-99,19,-99,16,19,16,22,14,-99,3,7,9,27,2,17,5,24,2,20,-99,16,12,8,-99,10,3,2
01/01/2018,15,1,17,15,15,-99,15,-99,12,6,13,18,13,-99,2,4,7,19,2,13,4,23,2,16,-99,12,8,5,-99,3,3,2
01/01/2018,16,1,13,4,12,-99,6,-99,12,5,7,9,14,-99,2,2,5,10,1,8,3,16,1,16,-99,7,6,4,-99,3,2,1
01/01/2018,17,1,7,3,6,-99,9,-99,11,4,4,4,15,-99,1,1,3,5,1,5,3,13,1,12,-99,6,4,3,-99,3,1,1
01/01/2018,18,1,8,4,3,-99,3,-99,5,4,3,2,12,-99,1,1,2,2,1,5,2,7,1,5,-99,5,4,4,-99,2,1,1
01/01/2018,19,1,5,27,2,-99,1,-99,10,4,21,2,6,-99,2,1,2,4,1,4,2,5,2,7,-99,4,5,4,-99,2,2,1
01/01/2018,20,1,13,46,3,-99,19,-99,19,4,42,3,6,-99,2,1,2,26,1,3,2,20,2,21,-99,2,4,4,-99,3,2,1
01/01/2018,21,1,17,44,3,-99,21,-99,21,15,29,3,5,-99,2,2,2,11,1,7,3,23,2,20,-99,2,5,3,-99,3,2,1
