FECHA,HORA,ACO,AJM,ATI,BJU,CAM,CCA,CHO,COY,CUA,CUT,FAC,HGM,INN,IZT,LLA,LPR,MER,MGH,MON,NEZ,PED,SAG,SFE,SJA,SUR,TAH,TLA,TLI,TPN,UAX,UIZ,VIF,XAL
02/01/2015,9,12,14,31,-99,-99,32,-99,-99,18,27,27,35,-99,35,34,-99,46,40,23,24,26,36,22,44,31,18,32,35,17,23,39,25,46
02/01/2015,10,11,15,47,-99,-99,44,-99,-99,23,31,58,32,-99,51,38,-99,68,57,20,35,34,39,20,44,27,19,54,43,23,32,52,33,56
02/01/2015,11,8,34,51,-99,-99,36,-99,-99,20,26,46,52,-99,65,26,-99,57,38,12,33,36,26,-99,36,38,11,58,47,16,32,47,38,34
02/01/2015,12,5,20,24,-99,-99,22,-99,-99,28,17,37,40,-99,32,15,-99,34,37,4,13,25,19,21,25,10,5,35,13,7,5,11,26,25
02/01/2015,13,4,6,23,-99,-99,10,-99,-99,18,15,24,9,-99,10,9,-99,13,14,4,8,7,14,15,10,7,4,24,24,7,4,-99,13,14
02/01/2015,14,4,6,12,-99,-99,10,-99,-99,11,16,14,12,-99,12,6,-99,13,11,4,7,6,12,10,12,8,3,11,10,7,4,-99,9,14
02/01/2015,15,6,6,11,-99,-99,10,-99,-99,10,9,10,13,-99,12,6,-99,14,14,4,7,7,13,8,14,7,4,11,10,6,6,-99,9,14
02/01/2015,16,8,5,10,-99,-99,9,-99,-99,10,11,9,12,-99,12,8,-99,14,14,5,8,6,15,7,15,8,5,12,12,5,6,9,10,16
02/01/2015,17,5,5,10,-99,-99,8,-99,-99,10,22,12,16,-99,13,10,-99,17,9,6,9,7,18,7,18,9,4,14,13,5,7,10,12,21
02/01/2015,18,8,5,12,-99,-99,9,-99,-99,12,25,16,18,-99,17,13,-99,19,13,9,13,8,22,9,23,14,6,19,14,7,9,14,16,24
02/01/2015,19,16,5,12,-99,-99,-99,-99,-99,22,19,18,20,-99,24,20,-99,26,19,16,20,11,28,18,31,18,9,25,17,7,12,21,22,30
02/01/2015,20,21,4,11,-99,-99,-99,-99,-99,27,25,26,29,-99,32,25,-99,37,35,24,28,13,34,24,34,22,8,28,28,6,15,22,30,36
02/01/2015,21,28,4,23,-99,-99,18,-99,-99,24,29,36,32,-99,32,32,-99,37,35,20,37,14,39,26,40,24,8,39,35,7,16,30,34,41
02/01/2015,22,25,3,31,-99,-99,27,-99,-99,17,31,34,36,-99,35,33,-99,40,35,21,38,15,38,31,40,20,10,46,35,6,14,34,34,40
02/01/2015,23,27,10,32,-99,-99,21,-99,-99,17,27,31,35,-99,35,32,-99,42,34,26,39,16,37,27,40,26,6,43,37,7,19,36,32,40
02/01/2015,24,28,14,30,-99,-99,26,-99,-99,14,28,-99,33,-99,30,32,-99,40,32,26,36,32,32,11,41,21,12,42,35,11,23,31,26,37
03/01/2015,1,27,19,29,-99,-99,29,-99,-99,10,23,28,31,-99,27,31,-99,41,33,21,34,29,27,18,40,19,25,39,32,6,22,33,29,37
03/01/2015,2,26,23,25,-99,-99,27,-99,-99,10,20,29,33,-99,18,30,-99,38,32,20,29,27,23,20,36,28,21,39,22,5,15,31,28,35
03/01/2015,3,23,22,20,-99,-99,25,-99,-99,7,17,30,33,-99,23,27,-99,36,31,12,15,22,20,14,31,28,19,37,23,3,19,26,19,32
03/01/2015,4,20,19,25,-99,-99,22,-99,-99,9,15,31,30,-99,20,26,-99,34,31,8,13,21,17,17,30,26,10,36,15,5,11,15,21,28
03/01/2015,5,14,15,28,-99,-99,20,-99,-99,13,13,32,29,-99,15,22,-99,32,29,8,16,20,17,19,26,24,8,33,12,8,8,13,13,25
03/01/2015,6,11,13,30,-99,-99,20,-99,-99,18,14,31,30,-99,18,23,-99,32,30,11,20,20,17,22,30,24,9,31,11,11,11,16,22,26
03/01/2015,7,24,10,28,-99,-99,21,-99,-99,17,16,26,30,-99,29,25,-99,35,30,13,24,24,24,29,26,23,9,39,20,14,16,19,22,28
