FECHA,HORA,LVI,TLA,XAL,MER,PED,CES,TLI,VIF,TAH,SUR,FAC,SAG,TAX,IZT
13/01/2010,7,31,40,74,-99,20,25,13,26,36,22,12,17,32,23
13/01/2010,8,39,53,99,-99,25,40,45,33,40,31,28,37,56,38
13/01/2010,9,59,61,113,56,43,57,51,79,56,45,41,50,51,47
13/01/2010,10,66,58,118,61,55,57,26,63,56,47,46,67,59,48
13/01/2010,11,86,75,139,76,65,71,47,-99,55,71,48,76,76,64
13/01/2010,12,93,89,162,84,72,66,53,-99,58,67,58,75,-99,79
13/01/2010,13,60,83,113,68,64,72,-99,-99,-99,65,55,63,92,83
13/01/2010,14,60,98,121,65,54,72,-99,-99,-99,51,70,49,55,79
13/01/2010,15,75,81,96,60,52,62,-99,158,-99,55,80,44,64,80
13/01/2010,16,58,75,138,47,49,44,100,93,-99,36,70,57,31,70
13/01/2010,17,26,69,99,25,34,37,95,83,-99,42,52,51,39,49
13/01/2010,18,68,102,123,40,40,49,98,67,49,39,64,81,-99,51
13/01/2010,19,57,94,187,35,5,71,65,63,71,39,83,63,55,48
13/01/2010,20,108,99,139,66,18,68,97,69,79,12,77,41,55,68
13/01/2010,21,52,95,131,77,16,74,110,130,73,30,80,51,53,87
13/01/2010,22,84,103,116,76,23,46,100,86,58,53,91,60,49,61
13/01/2010,23,96,71,119,71,25,51,61,46,61,46,83,56,47,70
13/01/2010,24,111,62,88,61,16,44,61,38,44,45,83,49,29,68
14/01/2010,1,36,74,98,69,8,38,78,56,18,38,60,36,22,89
14/01/2010,2,46,71,110,48,10,20,74,39,-99,31,32,39,30,65
14/01/2010,3,51,79,83,35,21,15,72,33,1,24,42,54,38,52
14/01/2010,4,68,81,60,47,22,17,66,48,1,11,40,51,28,43
14/01/2010,5,114,72,79,63,24,25,87,67,8,20,39,44,21,49
14/01/2010,6,109,71,206,75,17,31,97,73,13,27,35,63,31,59
14/01/2010,7,129,73,291,98,19,71,106,89,14,28,40,78,23,87
14/01/2010,8,148,100,365,105,31,72,105,72,7,64,74,115,61,89
14/01/2010,9,55,89,182,83,33,83,144,89,23,60,63,121,30,81
14/01/2010,10,26,42,135,45,32,44,112,135,55,33,13,61,60,68
14/01/2010,11,-99,16,46,8,13,12,6,131,41,1,4,13,-99,26
14/01/2010,12,-99,6,59,-99,9,35,-99,22,29,-99,7,-99,-99,26
14/01/2010,13,-99,14,197,-99,7,100,6,41,69,-99,13,-99,-99,9
14/01/2010,14,10,23,93,-99,12,65,17,42,47,21,21,31,-99,17
14/01/2010,15,-99,17,62,-99,21,69,25,32,18,48,19,53,-99,28
14/01/2010,16,1,30,96,-99,20,64,17,34,32,36,40,33,-99,62
14/01/2010,17,35,34,105,-99,28,37,19,48,29,27,28,59,-99,43
14/01/2010,18,41,28,60,-99,10,42,17,30,29,18,-99,29,-99,39
14/01/2010,19,11,26,45,-99,6,21,22,19,15,6,-99,-99,-99,22
14/01/2010,20,1,19,30,-99,-99,16,14,18,16,9,10,14,-99,17
14/01/2010,21,-99,18,33,-99,6,11,16,22,7,1,21,15,-99,-99
14/01/2010,22,8,20,45,-99,12,19,24,33,24,10,14,19,-99,-99
14/01/2010,23,7,16,44,-99,3,12,10,15,-99,12,13,25,-99,29
14/01/2010,24,4,10,24,-99,14,12,9,17,-99,6,1,30,-99,17
15/01/2010,1,-99,-99,24,-99,-99,15,13,31,-99,-99,-99,6,-99,13
15/01/2010,2,-99,3,34,-99,-99,4,24,36,-99,-99,-99,4,-99,11
15/01/2010,3,26,11,29,-99,13,13,8,11,8,-99,-99,5,-99,6
15/01/2010,4,-99,8,25,-99,13,-99,3,6,5,15,-99,8,-99,14
15/01/2010,5,-99,-99,13,-99,-99,11,5,14,5,-99,-99,2,-99,8
15/01/2010,6,-99,7,35,3,-99,11,9,11,7,-99,3,10,-99,3
15/01/2010,7,-99,9,31,3,-99,19,16,28,5,-99,5,18,-99,8
15/01/2010,8,7,20,74,33,1,31,22,36,6,-99,13,31,-99,27
15/01/2010,9,26,17,85,14,7,35,22,31,13,28,17,30,-99,26
15/01/2010,10,16,20,56,13,6,39,23,27,10,8,13,22,-99,15
15/01/2010,11,4,23,79,10,12,44,-99,30,38,2,13,26,-99,12
15/01/2010,12,14,22,63,-99,-99,50,-99,30,15,4,17,41,-99,25
15/01/2010,13,26,14,105,-99,6,57,-99,31,16,24,8,41,71,-99
15/01/2010,14,20,19,101,-99,9,52,-99,-99,14,-99,15,-99,33,56
15/01/2010,15,55,26,80,-99,-99,31,-99,-99,7,-99,29,42,34,32
15/01/2010,16,-99,57,69,-99,13,49,-99,-99,3,7,25,43,29,12
15/01/2010,17,51,45,64,-99,26,52,49,-99,-99,17,33,16,30,-99
15/01/2010,18,65,58,94,-99,11,21,43,-99,9,14,31,35,26,39
15/01/2010,19,8,20,33,19,18,22,19,-99,18,-99,15,25,26,22
15/01/2010,20,30,21,42,20,8,21,24,-99,11,12,14,23,-99,23
15/01/2010,21,13,17,33,14,10,14,16,23,13,14,12,23,-99,30
15/01/2010,22,-99,17,20,10,5,14,19,19,3,12,12,16,17,21
15/01/2010,23,8,12,23,11,5,7,13,18,3,11,8,20,14,12
