"Fecha","Noroeste.dioxido.de.azufre","Noreste.dioxido.de.azufre","Centro.dioxido.de.azufre","Suroeste.dioxido.de.azufre","Sureste.dioxido.de.azufre"
2005-01-01,19.9327956989247,18.0161290322581,18.6922043010753,14.8091397849462,15.0376344086022
2005-02-01,17.7053571428571,19.0282738095238,12.9077380952381,10.0729166666667,10.703869047619
2005-03-01,9.25403225806452,14.9193548387097,9.49596774193548,7.38844086021505,8.37381916329285
2005-04-01,21.9722222222222,26.1458333333333,17.1416666666667,11.0805555555556,12.875
2005-05-01,10.3172043010753,11.9475806451613,8.36424731182796,5.30913978494624,4.66666666666667
2005-06-01,9.83194444444444,11.7569444444444,7.81388888888889,5.55416666666667,5.66944444444444
2005-07-01,13.377688172043,12.6827956989247,9.47715053763441,6.37903225806452,6.9260752688172
2005-08-01,10.7728494623656,10.3454301075269,7.80779569892473,5.05779569892473,5.7741935483871
2005-09-01,10.4736111111111,6.82083333333333,7.875,6.16944444444444,6.49027777777778
2005-10-01,12.008064516129,7.85483870967742,10.2809139784946,7.70698924731183,7.12634408602151
2005-11-01,22.6722222222222,22.5805555555556,17.8277777777778,14.0083333333333,13.4444444444444
2005-12-01,20.7889784946237,21.1129032258065,18.3548387096774,12.6922043010753,11.9569892473118
2006-01-01,20.4260752688172,13.3494623655914,15.7163978494624,8.89516129032258,8.12231182795699
2006-02-01,17.202380952381,13.6577380952381,11.8869047619048,7.04464285714286,5.95684523809524
2006-03-01,10.7661290322581,9.71370967741935,6.01209677419355,4.32661290322581,5.55510752688172
2006-04-01,7.12777777777778,6.81111111111111,5.62638888888889,4.27777777777778,3.66944444444444
2006-05-01,9.0255376344086,8.0497311827957,9.53494623655914,4.62903225806452,4.93817204301075
2006-06-01,7.92916666666667,6.63888888888889,5.79276773296245,3.70694444444444,4.08472222222222
2006-07-01,7.91129032258065,7.0752688172043,4.63494318181818,3.14112903225806,5.08198924731183
2006-08-01,9.8991935483871,7.07258064516129,5.56720430107527,3.23252688172043,3.13709677419355
2006-09-01,7.39583333333333,5.20277777777778,6.10555555555556,2.98888888888889,3.26805555555556
2006-10-01,9.53494623655914,7.39381720430108,5.85483870967742,4.26881720430108,3.90860215053763
2006-11-01,12.6805555555556,8.24583333333333,7.51111111111111,6.33472222222222,6.38611111111111
2006-12-01,12.4637096774194,9.27284946236559,8.31182795698925,4.94220430107527,6.94758064516129
2007-01-01,13.7620967741935,12.760752688172,9.09811827956989,6.28360215053763,6.94354838709677
2007-02-01,9.29017857142857,9.60119047619048,5.38541666666667,3.12946428571429,4.94047619047619
2007-03-01,10.6411290322581,9.27150537634409,7.14247311827957,4.96908602150538,5.61424731182796
2007-04-01,7.35972222222222,7.79166666666667,5.04305555555556,2.75972222222222,3.78888888888889
2007-05-01,7.31317204301075,5.98252688172043,4.8508064516129,3.15322580645161,3.69354838709677
2007-06-01,8.9375,7.54305555555556,6.775,4.1875,5.24305555555556
2007-07-01,8.1505376344086,6.37903225806452,6.11021505376344,3.90188172043011,4.80376344086022
2007-08-01,7.03360215053763,6.31586021505376,3.77822580645161,3.49596774193548,4.42741935483871
2007-09-01,9.29027777777778,5.85694444444444,4.29444444444444,4.87916666666667,4.98333333333333
2007-10-01,10.3548387096774,7.63306451612903,6.38172043010753,6.56451612903226,6.63306451612903
2007-11-01,16.15,12.1625,10.9208333333333,9.38888888888889,9.81388888888889
2007-12-01,11.2204301075269,8.32795698924731,7.26209677419355,7.31854838709677,6.54032258064516
2008-01-01,14.5470430107527,11.7688172043011,10.0604838709677,7.16129032258065,7.71505376344086
2008-02-01,9.96120689655172,8.41522988505747,7.01724137931035,5.375,4.93390804597701
2008-03-01,9.42741935483871,7.08736559139785,6.57795698924731,6.84139784946237,5.79032258064516
2008-04-01,8.78472222222222,9.20972222222222,6.97638888888889,6.94305555555556,5.61388888888889
2008-05-01,5.88037634408602,6.375,5.11559139784946,5.42741935483871,4.26478494623656
2008-06-01,6.41666666666667,6.02083333333333,4.71944444444444,4.70555555555556,4.7625
2008-07-01,6.58198924731183,6.4744623655914,4.68682795698925,3.63709677419355,4.72177419354839
2008-08-01,6.24193548387097,6.26478494623656,5.75134408602151,4.19623655913978,5.35483870967742
2008-09-01,7.06527777777778,5.06111111111111,3.99166666666667,4.94305555555556,4.07916666666667
2008-10-01,11.7338709677419,7.57123655913978,7.93279569892473,8.84543010752688,7.12096774193548
2008-11-01,10.2013888888889,7.81388888888889,7.32222222222222,6.83472222222222,5.52083333333333
2008-12-01,13.866935483871,9.02956989247312,9.00537634408602,8.14247311827957,6.54032258064516
2009-01-01,13.1438172043011,10.3360215053763,8.99865591397849,8.18682795698925,7.43817204301075
2009-02-01,14.4404761904762,11.6800595238095,10.1339285714286,8.63541666666667,8.71428571428571
2009-03-01,9.84543010752688,8.16129032258065,7.34408602150538,4.61290322580645,6.43413978494624
2009-04-01,7.7625,6.65555555555556,6.00416666666667,5.73611111111111,3.8875
2009-05-01,6.16129032258065,6.86155913978495,4.98387096774194,4.82795698924731,4.04301075268817
2009-06-01,6.64861111111111,4.87916666666667,3.94861111111111,5.33472222222222,4.43472222222222
2009-07-01,7.30645161290323,4.86424731182796,4.6491935483871,5.53360215053763,4.46102150537634
2009-08-01,10.0255376344086,4.56182795698925,6.16935483870968,3.73924731182796,4.8508064516129
2009-09-01,5.51527777777778,2.60833333333333,4.68194444444444,4.225,2.87361111111111
2009-10-01,8.98521505376344,4.48252688172043,6.70967741935484,4.30241935483871,4.76881720430108
