FECHA,HORA,ACO,ATI,CAM,CHO,CCA,CUA,CUT,FAC,HGM,IZT,LLA,LPR,MER,MON,NEZ,PED,SAG,SFE,SJA,SUR,TAH,TLA,TLI,TPN,UAX,UIZ,VIF,XAL
01/01/2014,22,2,48,26,2,-99,2,18,23,3,5,-99,-99,4,-99,2,6,2,2,4,3,3,50,23,3,2,4,4,3
01/01/2014,23,2,48,25,2,-99,6,12,41,23,8,-99,-99,5,-99,2,6,2,5,5,7,3,44,16,14,2,4,9,3
01/01/2014,24,-99,38,52,2,-99,11,-99,29,27,26,-99,-99,27,-99,2,11,2,10,5,7,2,54,33,12,2,4,6,-99
02/01/2014,1,-99,14,25,2,-99,10,-99,14,17,20,-99,-99,29,-99,2,8,1,11,3,3,3,48,49,5,2,9,6,-99
02/01/2014,2,-99,11,11,2,-99,9,5,7,22,10,-99,-99,14,-99,5,5,2,8,3,3,8,31,33,4,2,8,14,-99
02/01/2014,3,-99,8,3,2,-99,7,3,5,9,5,-99,-99,7,-99,1,4,1,6,3,3,3,17,18,4,1,6,16,-99
02/01/2014,4,-99,8,3,2,-99,5,2,4,4,4,-99,-99,5,-99,0,4,1,5,3,4,4,13,19,4,2,4,11,-99
02/01/2014,5,-99,10,3,2,-99,4,2,4,4,5,-99,-99,2,-99,0,3,1,5,2,4,3,12,14,4,2,6,9,2
02/01/2014,6,-99,6,3,3,-99,5,2,3,4,4,-99,-99,4,-99,1,4,1,5,4,4,4,9,12,4,3,5,9,3
02/01/2014,7,-99,8,4,3,-99,7,2,5,5,6,-99,-99,6,-99,2,4,2,5,5,4,4,11,11,3,3,5,8,6
