FECHA,HORA,LAG,TAC,FAC,TLA,XAL,MER,PED,PLA,UIZ,IMP,TAX,TLI,VIF,SAG,VAL,SUR,IZT,CHO
02/01/2008,16,0.8,0.7,-99,0.5,0.7,0.7,0.1,0.5,-99,0.2,0.7,0.7,0.5,0.6,0.6,0.0,0.1,0.9
02/01/2008,17,1.0,0.7,-99,0.6,0.6,0.7,0.1,0.7,0.9,0.3,0.9,0.7,0.5,0.6,0.7,0.0,0.1,1.0
02/01/2008,18,1.3,0.9,-99,0.7,0.6,0.5,0.1,0.6,1.1,0.4,1.1,0.8,0.5,0.6,0.8,0.1,0.2,1.0
02/01/2008,19,1.3,0.9,-99,0.7,0.7,0.6,0.2,0.6,1.1,0.4,1.5,0.9,0.5,0.8,0.7,0.2,0.3,1.2
02/01/2008,20,1.3,0.9,-99,0.6,0.5,0.8,0.2,0.6,1.1,0.4,1.4,0.8,0.6,0.9,1.0,0.3,0.2,1.2
02/01/2008,21,1.0,0.9,-99,0.5,0.6,0.6,0.2,0.6,0.9,0.4,0.9,0.8,0.7,0.8,0.7,0.2,0.1,1.1
02/01/2008,22,0.9,1.0,-99,0.6,0.6,0.6,0.1,0.4,0.9,0.4,0.7,0.9,0.7,0.8,0.6,0.1,0.2,1.2
02/01/2008,23,0.8,0.9,-99,0.4,0.5,0.4,0.1,0.4,1.1,0.3,0.5,0.9,0.7,0.7,0.4,0.0,0.2,1.1
02/01/2008,24,0.6,0.7,-99,0.3,0.2,0.2,0.0,0.3,0.9,0.2,-99,0.7,0.7,-99,0.2,-99,0.0,1.1
03/01/2008,1,0.5,0.7,-99,0.2,0.1,0.1,0.0,0.2,0.7,0.2,0.1,0.7,0.6,0.5,0.1,0.0,0.0,1.0
03/01/2008,2,0.4,0.7,-99,0.2,0.0,0.0,0.0,0.2,0.7,0.2,0.0,0.7,0.6,0.5,0.0,0.0,0.0,1.0
03/01/2008,3,0.3,0.7,-99,0.1,0.0,0.0,0.0,0.2,0.6,0.1,0.0,0.6,0.6,0.4,0.0,0.0,0.0,1.1
03/01/2008,4,0.4,0.7,-99,0.1,0.1,0.0,0.0,0.2,0.6,0.3,0.0,0.6,0.6,0.4,0.0,-99,0.0,1.9
03/01/2008,5,0.4,0.7,-99,0.3,0.2,0.1,0.0,0.2,0.8,0.1,0.0,0.6,0.6,0.5,0.0,-99,0.0,1.4
03/01/2008,6,0.5,0.8,-99,0.4,1.0,0.3,0.0,-99,1.0,0.3,0.3,0.8,0.7,1.1,0.1,-99,0.0,2.0
03/01/2008,7,0.8,1.1,-99,0.5,0.7,0.7,0.0,0.6,1.6,0.6,0.7,1.0,0.9,2.0,0.7,0.0,0.2,1.9
03/01/2008,8,1.6,1.3,-99,1.1,1.6,0.9,0.3,1.1,2.3,1.4,1.3,1.4,1.2,2.3,1.1,0.3,0.6,3.2
03/01/2008,9,1.7,1.3,-99,0.9,1.8,1.0,0.5,1.0,2.3,0.9,1.1,1.4,1.2,2.6,0.7,0.3,-99,2.2
03/01/2008,10,1.6,1.1,-99,0.9,1.6,0.9,0.5,1.0,2.6,0.8,1.2,1.4,0.9,1.6,0.3,0.4,0.9,1.6
03/01/2008,11,1.9,1.2,-99,1.2,0.9,-99,0.6,1.3,2.5,1.0,1.5,1.3,0.9,1.1,0.7,0.5,-99,1.7
03/01/2008,12,2.0,1.2,-99,1.2,0.8,-99,0.7,1.1,2.2,1.2,1.4,1.1,0.8,1.0,1.1,0.6,1.2,1.6
03/01/2008,13,2.6,1.5,-99,1.2,0.7,-99,-99,-99,2.0,1.4,1.8,1.0,0.6,0.9,1.7,0.8,1.4,1.7
03/01/2008,14,2.5,1.4,-99,1.1,0.7,-99,1.0,-99,1.8,1.5,1.9,1.0,0.5,0.7,1.0,1.0,1.3,1.4
03/01/2008,15,2.4,1.4,-99,1.0,0.7,1.0,1.1,-99,1.6,1.4,1.6,1.1,0.5,0.6,1.2,1.3,0.9,1.5
03/01/2008,16,2.2,1.5,-99,1.1,0.9,1.1,1.1,1.3,1.4,1.3,1.3,1.0,0.5,0.8,1.5,0.8,0.6,1.5
03/01/2008,17,2.3,1.6,-99,1.2,1.0,0.9,1.0,1.4,1.2,1.3,1.7,1.0,0.5,0.9,1.5,0.4,0.6,1.2
03/01/2008,18,2.1,1.5,-99,0.9,1.0,0.5,0.9,1.8,1.5,1.1,1.3,1.0,0.5,1.1,1.2,0.6,0.6,1.3
03/01/2008,19,1.7,1.2,-99,1.0,-99,1.8,1.7,1.8,1.8,0.9,3.0,1.0,0.6,1.1,1.4,2.1,1.8,1.1
03/01/2008,20,1.6,1.2,-99,1.2,1.1,1.6,1.3,1.2,1.8,0.8,4.5,1.1,0.6,1.2,1.6,1.6,1.0,1.3
03/01/2008,21,1.2,1.4,-99,0.7,1.5,1.2,0.7,1.1,1.8,0.7,2.3,1.0,0.5,0.9,1.3,1.0,0.6,1.5
03/01/2008,22,1.1,1.0,-99,0.8,1.1,0.8,0.7,0.8,1.7,0.5,1.6,0.9,0.5,0.9,1.0,0.6,0.6,1.3
03/01/2008,23,1.1,0.9,-99,0.6,1.0,0.8,0.5,0.8,1.7,0.4,1.2,1.0,0.6,0.8,0.9,0.4,0.4,1.2
03/01/2008,24,0.9,0.8,-99,0.5,0.8,0.6,0.4,0.7,1.2,0.6,1.0,0.9,0.6,0.7,0.7,0.2,0.3,1.0
04/01/2008,1,0.9,0.8,-99,0.4,0.7,0.5,0.4,0.9,0.9,0.3,0.8,0.7,0.6,0.7,0.4,0.3,0.1,1.1
04/01/2008,2,0.7,0.7,-99,0.3,0.5,0.3,0.5,0.5,0.8,0.3,0.4,0.7,0.6,0.5,0.4,0.1,0.0,1.1
04/01/2008,3,0.7,0.8,-99,0.3,0.3,0.3,0.6,0.5,0.7,0.3,0.1,0.8,0.7,0.6,0.3,0.0,0.0,1.1
04/01/2008,4,0.7,0.8,-99,0.3,0.2,0.2,0.3,0.4,0.7,0.3,0.1,0.8,0.6,0.6,0.2,0.0,0.0,1.1
04/01/2008,5,0.8,0.9,-99,0.4,0.1,0.2,0.3,0.6,0.8,0.3,0.2,0.8,0.6,0.8,0.4,0.0,0.0,1.3
04/01/2008,6,0.8,1.1,-99,0.6,0.2,0.2,0.2,0.5,1.0,0.5,0.4,1.1,0.7,0.9,0.7,0.0,0.3,1.4
04/01/2008,7,1.1,1.5,-99,1.2,0.6,0.8,0.3,0.7,1.5,1.0,0.6,1.2,0.9,1.1,1.4,0.1,0.8,1.9
04/01/2008,8,1.9,1.9,-99,2.1,1.2,1.1,0.5,1.0,2.2,1.5,1.0,1.3,1.0,1.3,2.5,0.5,1.4,3.0
04/01/2008,9,2.3,2.4,-99,1.7,1.3,1.2,0.6,1.5,2.3,1.6,2.1,1.9,1.2,2.0,2.6,0.9,1.6,3.3
04/01/2008,10,2.9,2.7,-99,2.1,1.7,1.5,0.8,2.3,2.4,1.8,3.0,2.8,1.3,2.2,2.7,0.8,2.0,2.3
04/01/2008,11,3.4,3.2,-99,1.9,2.0,1.7,1.0,2.4,2.6,2.2,2.6,2.9,1.5,2.2,2.3,0.8,2.1,1.9
04/01/2008,12,2.9,3.5,-99,2.3,-99,1.5,1.3,3.0,2.6,2.1,2.4,3.0,1.5,1.7,2.3,1.2,1.7,2.1
04/01/2008,13,3.0,3.1,-99,2.0,-99,1.3,1.4,2.6,2.5,-99,2.2,2.8,1.5,1.8,1.9,1.2,1.6,1.9
04/01/2008,14,1.9,1.9,-99,1.5,-99,1.1,1.0,1.7,1.9,1.5,1.7,2.1,1.0,1.3,1.8,0.9,0.9,1.9
04/01/2008,15,1.5,1.2,-99,1.4,-99,0.8,0.9,1.1,1.4,1.0,1.5,1.7,0.7,1.0,2.1,0.4,0.5,1.4
04/01/2008,16,1.5,1.4,-99,1.5,1.2,0.6,0.7,1.1,1.2,1.0,1.1,1.3,0.6,1.1,2.0,0.3,0.5,1.4
04/01/2008,17,1.9,1.5,-99,1.0,1.0,0.9,0.7,1.2,1.2,1.2,1.7,0.9,0.5,0.9,1.4,0.4,0.4,1.4
04/01/2008,18,2.0,1.3,-99,0.9,1.5,1.3,0.9,1.4,1.2,0.7,1.3,1.1,0.6,1.3,1.5,0.6,0.9,1.2
04/01/2008,19,2.4,1.4,-99,1.2,1.6,2.4,1.5,2.0,1.9,0.9,3.3,1.3,0.9,1.6,1.8,2.1,2.2,1.2
04/01/2008,20,2.2,1.7,-99,1.4,1.3,1.5,1.6,1.6,2.7,1.3,5.1,1.6,1.0,1.7,1.8,1.5,2.3,1.9
04/01/2008,21,2.4,3.6,-99,1.7,1.4,2.0,1.4,1.9,3.1,1.2,2.5,1.4,1.1,2.2,1.7,3.4,1.8,1.6
04/01/2008,22,2.3,2.4,-99,1.9,1.7,1.8,1.0,1.6,3.8,1.4,3.1,1.7,1.1,2.1,1.7,1.5,1.3,1.8
