FECHA,HORA,CAM,COY,MER,NEZ,PED,PER,SAG,SJA,TLA,UIZ,XAL,,,,,,,,,,,,,
03/01/2011,11,46,34,50,-99,-99,35,33,-99,46,25,-99,,,,,,,,,,,,,
03/01/2011,12,31,38,-99,-99,-99,17,20,-99,30,19,-99,,,,,,,,,,,,,
03/01/2011,13,2,32,-99,-99,-99,10,15,-99,15,-99,-99,,,,,,,,,,,,,
03/01/2011,14,-99,23,-99,-99,-99,8,14,18,18,-99,-99,,,,,,,,,,,,,
03/01/2011,15,11,24,24,-99,-99,12,20,10,14,-99,-99,,,,,,,,,,,,,
03/01/2011,16,17,13,12,-99,-99,22,20,12,20,21,-99,,,,,,,,,,,,,
03/01/2011,17,7,8,9,-99,-99,31,15,15,12,16,-99,,,,,,,,,,,,,
03/01/2011,18,8,11,9,-99,-99,17,16,14,6,14,-99,,,,,,,,,,,,,
03/01/2011,19,14,10,5,-99,-99,41,25,19,10,2,-99,,,,,,,,,,,,,
03/01/2011,20,15,14,12,-99,-99,33,17,22,10,26,-99,,,,,,,,,,,,,
03/01/2011,21,13,21,15,-99,-99,27,42,17,20,46,-99,,,,,,,,,,,,,
03/01/2011,22,24,23,20,-99,-99,26,27,26,16,2,-99,,,,,,,,,,,,,
03/01/2011,23,31,25,24,-99,-99,36,29,34,22,18,-99,,,,,,,,,,,,,
03/01/2011,24,24,22,26,-99,-99,28,32,-99,23,20,-99,,,,,,,,,,,,,
04/01/2011,1,21,21,25,-99,-99,37,38,-99,33,22,-99,,,,,,,,,,,,,
04/01/2011,2,31,20,30,-99,-99,33,41,-99,31,27,-99,,,,,,,,,,,,,
04/01/2011,3,25,20,34,-99,-99,43,32,-99,31,24,-99,,,,,,,,,,,,,
04/01/2011,4,23,21,38,-99,-99,39,33,-99,25,27,-99,,,,,,,,,,,,,
04/01/2011,5,26,24,57,-99,-99,39,31,43,19,33,-99,,,,,,,,,,,,,
04/01/2011,6,24,25,43,-99,-99,45,29,32,23,34,-99,,,,,,,,,,,,,
04/01/2011,7,29,27,44,-99,-99,44,27,31,24,34,-99,,,,,,,,,,,,,
04/01/2011,8,46,32,44,-99,-99,64,29,23,33,34,-99,,,,,,,,,,,,,
04/01/2011,9,47,34,41,-99,-99,49,26,29,40,27,-99,,,,,,,,,,,,,
04/01/2011,10,49,36,47,-99,-99,63,40,38,37,46,-99,,,,,,,,,,,,,
04/01/2011,11,54,39,54,-99,-99,66,47,59,57,56,-99,,,,,,,,,,,,,
04/01/2011,12,53,54,57,-99,-99,47,50,37,48,42,-99,,,,,,,,,,,,,
04/01/2011,13,34,64,52,-99,-99,44,37,20,54,18,-99,,,,,,,,,,,,,
04/01/2011,14,21,61,31,-99,-99,25,31,17,45,21,-99,,,,,,,,,,,,,
04/01/2011,15,15,45,29,-99,-99,19,19,8,25,30,-99,,,,,,,,,,,,,
04/01/2011,16,21,46,32,-99,-99,14,14,14,18,25,-99,,,,,,,,,,,,,
04/01/2011,17,21,37,28,-99,-99,20,18,18,23,28,-99,,,,,,,,,,,,,
04/01/2011,18,26,42,34,-99,-99,27,17,17,26,21,-99,,,,,,,,,,,,,
04/01/2011,19,24,53,28,-99,-99,31,21,21,38,11,-99,,,,,,,,,,,,,
04/01/2011,20,30,39,29,-99,-99,46,23,32,27,23,-99,,,,,,,,,,,,,
04/01/2011,21,20,36,31,-99,-99,34,27,34,34,45,-99,,,,,,,,,,,,,
04/01/2011,22,32,34,36,-99,-99,41,20,34,15,29,-99,,,,,,,,,,,,,
04/01/2011,23,15,34,27,-99,-99,29,24,-99,15,31,-99,,,,,,,,,,,,,
04/01/2011,24,25,27,31,-99,-99,33,24,38,20,35,-99,,,,,,,,,,,,,
05/01/2011,1,27,30,24,-99,-99,43,28,37,21,25,-99,,,,,,,,,,,,,
05/01/2011,2,24,27,21,-99,-99,60,27,33,20,25,-99,,,,,,,,,,,,,
05/01/2011,3,25,23,25,-99,-99,53,35,36,18,25,-99,,,,,,,,,,,,,
05/01/2011,4,22,22,30,-99,-99,48,38,39,16,33,-99,,,,,,,,,,,,,
05/01/2011,5,21,24,44,-99,-99,139,45,36,14,36,-99,,,,,,,,,,,,,
05/01/2011,6,17,27,44,-99,-99,110,44,39,16,42,-99,,,,,,,,,,,,,
05/01/2011,7,27,28,41,-99,-99,98,41,31,17,38,-99,,,,,,,,,,,,,
05/01/2011,8,54,32,59,-99,-99,110,40,32,20,42,-99,,,,,,,,,,,,,
05/01/2011,9,55,34,67,-99,-99,109,48,52,29,29,-99,,,,,,,,,,,,,
05/01/2011,10,45,37,65,-99,-99,106,61,45,45,29,-99,,,,,,,,,,,,,
05/01/2011,11,58,45,69,-99,-99,79,52,54,58,38,-99,,,,,,,,,,,,,
05/01/2011,12,55,42,75,-99,-99,62,57,26,69,31,-99,,,,,,,,,,,,,
05/01/2011,13,40,37,41,-99,-99,29,42,18,54,21,-99,,,,,,,,,,,,,
05/01/2011,14,37,39,41,-99,-99,28,28,18,44,7,-99,,,,,,,,,,,,,
05/01/2011,15,53,41,39,-99,-99,115,19,16,26,12,-99,,,,,,,,,,,,,
05/01/2011,16,23,50,38,-99,-99,43,20,12,19,18,-99,,,,,,,,,,,,,
05/01/2011,17,7,56,24,-99,-99,21,18,-99,17,25,-99,,,,,,,,,,,,,
05/01/2011,18,9,28,26,-99,-99,-99,29,-99,25,27,-99,,,,,,,,,,,,,
05/01/2011,19,24,22,28,-99,-99,35,28,-99,27,27,-99,,,,,,,,,,,,,
05/01/2011,20,42,30,33,-99,-99,52,23,30,33,28,-99,,,,,,,,,,,,,
05/01/2011,21,23,-99,22,-99,-99,50,20,25,19,33,-99,,,,,,,,,,,,,
05/01/2011,22,19,-99,26,-99,-99,41,20,28,19,34,-99,,,,,,,,,,,,,
05/01/2011,23,23,-99,26,-99,-99,31,18,23,17,22,-99,,,,,,,,,,,,,
05/01/2011,24,37,36,33,-99,-99,55,13,22,33,26,-99,,,,,,,,,,,,,
06/01/2011,1,30,33,28,-99,-99,90,18,32,25,36,-99,,,,,,,,,,,,,
06/01/2011,2,28,27,29,-99,-99,39,25,35,37,31,-99,,,,,,,,,,,,,
06/01/2011,3,31,24,25,-99,-99,82,24,35,18,29,-99,,,,,,,,,,,,,
06/01/2011,4,27,23,23,-99,-99,65,19,54,19,32,-99,,,,,,,,,,,,,
06/01/2011,5,30,22,31,-99,-99,65,25,45,15,43,-99,,,,,,,,,,,,,
06/01/2011,6,28,28,39,-99,-99,50,28,44,17,43,-99,,,,,,,,,,,,,
06/01/2011,7,33,24,31,-99,-99,48,28,42,15,57,-99,,,,,,,,,,,,,
06/01/2011,8,28,20,44,-99,-99,80,31,35,19,41,-99,,,,,,,,,,,,,
06/01/2011,9,32,-99,47,-99,-99,84,29,31,22,19,-99,,,,,,,,,,,,,
06/01/2011,10,39,-99,51,-99,-99,60,42,31,23,29,-99,,,,,,,,,,,,,
06/01/2011,11,47,-99,53,-99,-99,59,62,51,31,42,-99,,,,,,,,,,,,,
06/01/2011,12,44,-99,52,-99,-99,41,70,24,-99,49,-99,,,,,,,,,,,,,
06/01/2011,13,32,45,50,-99,-99,39,56,28,-99,30,-99,,,,,,,,,,,,,
06/01/2011,14,31,51,54,-99,-99,45,24,-99,27,9,-99,,,,,,,,,,,,,
06/01/2011,15,13,51,58,-99,-99,26,27,-99,26,24,-99,,,,,,,,,,,,,
06/01/2011,16,21,57,51,-99,-99,78,30,19,21,42,-99,,,,,,,,,,,,,
06/01/2011,17,19,51,24,-99,-99,302,25,17,23,29,-99,,,,,,,,,,,,,
06/01/2011,18,20,30,23,-99,-99,83,16,27,11,22,-99,,,,,,,,,,,,,
06/01/2011,19,29,24,22,-99,-99,44,19,24,22,15,-99,,,,,,,,,,,,,
06/01/2011,20,25,26,22,-99,-99,43,20,20,25,21,-99,,,,,,,,,,,,,
06/01/2011,21,23,25,20,-99,-99,35,26,25,18,38,-99,,,,,,,,,,,,,
06/01/2011,22,20,21,17,-99,-99,45,23,29,22,24,-99,,,,,,,,,,,,,
06/01/2011,23,23,32,26,-99,-99,45,25,29,24,25,-99,,,,,,,,,,,,,
06/01/2011,24,31,36,30,-99,-99,29,29,23,22,23,-99,,,,,,,,,,,,,
07/01/2011,1,28,30,31,-99,-99,34,38,31,24,36,-99,,,,,,,,,,,,,
07/01/2011,2,34,28,26,-99,-99,28,33,59,20,35,-99,,,,,,,,,,,,,
07/01/2011,3,27,23,42,-99,-99,20,35,57,24,46,-99,,,,,,,,,,,,,
07/01/2011,4,18,24,46,-99,-99,29,38,35,17,37,-99,,,,,,,,,,,,,
07/01/2011,5,17,23,38,-99,-99,32,37,25,15,32,-99,,,,,,,,,,,,,
