FECHA,HORA,CAM,COY,CCA,HGM,MER,NEZ,PED,SAG,SFE,SJA,TLA,UAX,UIZ,XAL,,,,,,,,,,,,,,
01/01/2014,20,16,15,-99,20,26,9,21,11,14,11,38,10,21,21,,,,,,,,,,,,,,
01/01/2014,21,54,18,-99,22,26,19,17,31,12,22,79,12,29,19,,,,,,,,,,,,,,
01/01/2014,22,59,50,-99,24,27,16,17,23,10,25,67,19,27,19,,,,,,,,,,,,,,
01/01/2014,23,69,49,-99,51,32,19,23,15,18,19,63,19,26,28,,,,,,,,,,,,,,
01/01/2014,24,56,50,-99,48,63,16,41,3,24,19,59,26,34,26,,,,,,,,,,,,,,
02/01/2014,1,41,38,-99,31,48,19,25,4,27,18,58,25,42,23,,,,,,,,,,,,,,
02/01/2014,2,35,34,-99,40,37,23,25,35,27,20,51,21,28,24,,,,,,,,,,,,,,
02/01/2014,3,20,32,-99,28,33,29,23,21,33,21,38,22,28,29,,,,,,,,,,,,,,
02/01/2014,4,20,35,-99,28,25,23,26,42,21,20,20,23,30,29,,,,,,,,,,,,,,
02/01/2014,5,24,32,-99,34,24,26,32,43,26,25,22,27,38,42,,,,,,,,,,,,,,
02/01/2014,6,23,34,-99,29,33,29,26,39,23,28,26,33,31,36,,,,,,,,,,,,,,
02/01/2014,7,25,32,-99,35,39,28,27,34,27,35,27,30,33,38,,,,,,,,,,,,,,
02/01/2014,8,33,36,-99,38,40,31,29,32,31,33,37,34,46,34,,,,,,,,,,,,,,
02/01/2014,9,47,40,-99,42,40,34,31,29,29,22,30,27,51,50,,,,,,,,,,,,,,
02/01/2014,10,45,47,-99,51,49,55,40,17,38,22,42,28,54,56,,,,,,,,,,,,,,
02/01/2014,11,51,55,-99,56,59,63,49,47,34,37,52,32,54,59,,,,,,,,,,,,,,
02/01/2014,12,48,51,-99,22,60,57,38,23,39,46,58,42,55,47,,,,,,,,,,,,,,
02/01/2014,13,47,50,-99,9,47,51,40,15,46,35,29,51,53,29,,,,,,,,,,,,,,
02/01/2014,14,32,43,-99,16,28,33,52,13,56,1,18,38,37,22,,,,,,,,,,,,,,
02/01/2014,15,22,38,-99,28,19,20,26,13,48,14,28,18,14,22,,,,,,,,,,,,,,
02/01/2014,16,21,28,-99,36,26,27,23,14,33,16,27,7,21,30,,,,,,,,,,,,,,
02/01/2014,17,18,34,-99,17,25,32,29,17,15,10,16,24,22,16,,,,,,,,,,,,,,
02/01/2014,18,11,18,-99,14,17,18,14,2,18,17,5,14,13,11,,,,,,,,,,,,,,
02/01/2014,19,14,13,-99,6,10,8,11,7,11,6,13,2,9,8,,,,,,,,,,,,,,
02/01/2014,20,9,13,-99,7,9,7,10,-99,2,8,11,10,9,2,,,,,,,,,,,,,,
02/01/2014,21,5,11,-99,9,10,8,7,-99,7,8,10,4,6,1,,,,,,,,,,,,,,
02/01/2014,22,5,7,-99,1,7,4,1,-99,6,6,20,9,3,8,,,,,,,,,,,,,,
02/01/2014,23,5,10,-99,11,4,6,-99,-99,11,1,9,7,6,9,,,,,,,,,,,,,,
02/01/2014,24,6,10,-99,10,7,2,-99,-99,4,2,6,7,1,8,,,,,,,,,,,,,,
03/01/2014,1,2,6,-99,7,1,3,1,-99,5,2,8,9,-99,7,,,,,,,,,,,,,,
03/01/2014,2,-99,9,-99,1,6,4,4,-99,6,-99,10,4,-99,9,,,,,,,,,,,,,,
03/01/2014,3,4,10,-99,7,8,2,5,-99,8,-99,13,5,-99,9,,,,,,,,,,,,,,
03/01/2014,4,4,6,-99,7,2,2,5,-99,-99,-99,7,5,-99,12,,,,,,,,,,,,,,
03/01/2014,5,1,4,-99,-99,6,2,3,-99,3,1,7,8,-99,5,,,,,,,,,,,,,,
03/01/2014,6,3,5,-99,5,3,2,8,-99,2,8,7,5,2,11,,,,,,,,,,,,,,
03/01/2014,7,7,6,-99,2,8,4,6,-99,1,3,7,8,4,9,,,,,,,,,,,,,,
