FECHA,HORA,AJM,AJU,BJU,CAM,CCA,COY,GAM,HGM,INN,MER,MGH,NEZ,PED,SAG,SFE,SJA,TLA,UAX,UIZ,XAL,,,,,,,
03/01/2015,1,-99,-99,-99,7,13,22,-99,9,-99,20,16,22,10,18,-99,16,-99,15,24,-99,,,,,,,
03/01/2015,2,-99,-99,-99,22,16,16,-99,15,-99,19,15,15,2,18,-99,16,-99,3,16,-99,,,,,,,
03/01/2015,3,-99,-99,-99,38,13,15,-99,15,-99,9,14,11,7,15,-99,15,-99,15,13,-99,,,,,,,
03/01/2015,4,-99,-99,-99,29,13,16,-99,16,-99,7,14,6,7,10,-99,13,-99,8,9,-99,,,,,,,
03/01/2015,5,-99,-99,-99,22,18,12,-99,5,-99,7,16,10,3,13,-99,11,-99,11,6,-99,,,,,,,
03/01/2015,6,-99,-99,-99,19,21,9,-99,18,-99,9,15,10,1,17,-99,15,-99,14,12,-99,,,,,,,
03/01/2015,7,-99,-99,-99,32,20,14,-99,29,-99,12,15,7,6,11,-99,15,-99,10,1,-99,,,,,,,
03/01/2015,8,-99,-99,-99,44,11,15,-99,21,-99,26,14,10,2,12,-99,15,-99,12,14,-99,,,,,,,
03/01/2015,9,-99,-99,-99,32,11,18,-99,13,-99,26,18,8,14,12,-99,7,-99,6,2,-99,,,,,,,
03/01/2015,10,-99,-99,-99,16,10,4,-99,2,-99,15,21,6,21,-99,-99,8,-99,3,16,-99,,,,,,,
03/01/2015,11,-99,-99,-99,9,4,10,-99,-99,-99,20,9,4,13,4,-99,9,-99,-99,-99,-99,,,,,,,
03/01/2015,12,-99,-99,-99,10,3,4,-99,-99,-99,8,4,6,12,31,-99,7,-99,-99,18,-99,,,,,,,
03/01/2015,13,-99,-99,-99,8,3,4,-99,1,-99,5,2,2,6,25,-99,-99,-99,-99,14,-99,,,,,,,
03/01/2015,14,-99,-99,-99,12,-99,-99,-99,18,-99,9,7,7,4,27,-99,-99,-99,-99,-99,-99,,,,,,,
03/01/2015,15,-99,-99,-99,5,6,11,-99,2,-99,-99,7,9,9,-99,-99,-99,-99,-99,1,-99,,,,,,,
