FECHA,HORA,ACO,ATI,CAM,CHO,CUA,CUT,FAC,HGM,IZT,LLA,LPR,MER,MON,NEZ,PED,SAG,SFE,SJA,SUR,TAH,TLA,TLI,TPN,UAX,UIZ,VIF,XAL
01/01/2013,1,6,4,7,5,-99,-99,3,4,8,8,6,-99,-99,6,2,-99,1,8,8,7,3,10,0,4,6,13,10
01/01/2013,2,9,4,8,4,-99,-99,5,4,9,9,6,-99,-99,6,2,-99,1,10,7,7,6,15,0,5,7,16,12
01/01/2013,3,8,4,10,4,-99,-99,4,5,8,11,8,-99,-99,7,2,-99,1,11,7,7,7,10,0,3,6,20,19
01/01/2013,4,6,3,10,4,-99,-99,4,4,7,9,7,-99,-99,5,3,-99,1,11,4,7,5,9,0,5,6,11,15
01/01/2013,5,7,3,9,3,-99,-99,3,3,4,8,4,-99,-99,3,2,-99,1,8,5,5,5,9,0,4,4,8,12
01/01/2013,6,6,2,7,3,-99,-99,2,3,3,9,3,3,-99,3,2,-99,0,8,4,5,3,10,0,3,3,9,10
01/01/2013,7,5,2,5,3,2,-99,1,3,3,9,2,3,-99,3,2,-99,0,7,4,5,3,8,0,3,3,6,8
01/01/2013,8,4,1,5,3,2,-99,1,4,4,11,3,4,-99,3,2,-99,0,4,3,5,3,6,0,2,3,5,8
01/01/2013,9,5,2,6,4,2,-99,4,6,5,11,5,6,-99,2,2,-99,1,7,3,5,5,8,1,3,4,6,10
01/01/2013,10,5,5,7,3,2,-99,5,6,4,10,6,6,-99,4,2,-99,1,8,3,4,6,9,1,4,-99,6,8
01/01/2013,11,4,6,6,3,2,-99,3,5,2,7,4,4,-99,3,2,-99,1,4,4,4,4,8,1,2,3,6,5
01/01/2013,12,2,2,4,2,2,-99,3,3,1,5,2,2,-99,1,2,-99,1,4,2,4,2,4,1,1,2,4,3
01/01/2013,13,2,2,3,2,2,-99,3,2,0,4,2,1,-99,0,2,-99,1,3,1,4,3,2,0,1,1,2,3
01/01/2013,14,1,2,2,2,2,-99,2,1,0,3,1,0,-99,1,2,-99,1,3,1,4,1,2,0,1,1,1,2
01/01/2013,15,1,1,2,2,2,-99,1,1,0,3,1,1,-99,1,2,-99,1,3,1,4,1,2,0,1,1,1,2
01/01/2013,16,1,1,2,2,2,-99,1,1,0,2,1,1,-99,1,2,-99,0,3,1,4,0,2,-99,1,1,0,2
01/01/2013,17,1,1,2,2,1,-99,1,2,0,2,1,0,-99,1,2,-99,0,3,1,3,0,2,1,1,1,1,2
01/01/2013,18,1,1,2,2,2,-99,1,2,0,2,0,0,-99,0,2,-99,0,3,1,3,0,2,1,1,1,1,2
01/01/2013,19,1,1,2,2,2,-99,1,3,0,1,1,0,-99,1,2,-99,0,3,1,4,0,2,1,1,1,1,2
01/01/2013,20,1,1,3,2,2,-99,1,2,1,2,1,1,-99,1,2,-99,0,3,2,3,1,2,1,1,1,1,2
01/01/2013,21,2,5,3,2,2,-99,3,2,1,2,2,1,-99,1,2,-99,1,4,2,4,1,3,1,1,2,1,3
01/01/2013,22,2,40,11,2,2,-99,16,2,1,2,2,2,-99,1,3,-99,1,5,2,4,34,20,1,1,2,2,4
01/01/2013,23,2,24,49,2,2,-99,37,27,13,2,2,17,-99,1,3,-99,1,5,6,3,40,27,1,1,2,14,4
01/01/2013,24,1,12,29,2,3,-99,14,-99,39,1,1,32,-99,1,-99,-99,1,4,11,3,19,34,2,1,1,19,4
02/01/2013,1,1,18,27,2,4,-99,9,-99,25,4,1,23,-99,6,-99,-99,2,7,7,5,26,26,3,3,3,15,3
02/01/2013,2,2,6,20,2,4,-99,4,-99,21,5,6,24,-99,15,-99,-99,3,25,6,4,21,56,2,3,13,11,5
02/01/2013,3,3,5,19,2,3,-99,5,-99,24,8,6,24,-99,25,-99,-99,2,36,9,3,22,44,2,11,27,13,6
02/01/2013,4,3,7,31,2,7,-99,5,-99,20,10,5,25,-99,24,-99,-99,3,36,20,3,29,25,3,18,24,26,8
02/01/2013,5,2,13,26,2,6,-99,7,-99,18,10,6,23,-99,12,-99,-99,2,28,18,3,33,18,4,7,22,24,9
02/01/2013,6,3,17,26,2,6,-99,12,24,20,10,7,20,-99,12,4,-99,2,20,18,3,23,31,4,10,19,26,12
02/01/2013,7,3,13,30,2,4,-99,16,25,20,24,8,19,-99,9,3,-99,2,16,19,3,23,36,4,11,16,38,12
02/01/2013,8,2,11,28,2,4,-99,17,20,13,22,9,14,-99,6,4,-99,4,12,16,3,29,33,4,6,9,26,15
02/01/2013,9,2,16,18,2,7,-99,18,13,6,23,8,10,-99,3,4,-99,7,11,6,3,28,28,6,2,6,21,13
