"month","year","promedio"
1,2005,60.7836021505376
1,2006,57.1680107526882
1,2007,37.7822580645161
1,2008,47.7634408602151
1,2009,45.5793010752688
1,2010,30.0120967741935
1,2011,46.9126344086022
1,2012,42.7405913978495
1,2013,46.0577956989247
1,2014,43.7163978494624
1,2015,62.0040322580645
1,2016,46.3790322580645
1,2017,58.6115591397849
1,2018,61.8494623655914
1,2019,51.7889784946237
1,2020,44.2338709677419
2,2005,55.7038690476191
2,2006,50.6532738095238
2,2007,33.9508928571429
2,2008,48.5560344827586
2,2009,45.7425595238095
2,2010,23.827380952381
2,2011,45.0238095238095
2,2012,30.9727011494253
2,2013,47.8511904761905
2,2014,46.1324404761905
2,2015,60.1696428571429
2,2016,68.7830459770115
2,2017,54.7901785714286
2,2018,54.3720238095238
2,2019,43.9523809523809
2,2020,45.2413793103448
3,2005,47.1586021505376
3,2006,52.4408602150538
3,2007,41.244623655914
3,2008,50.366935483871
3,2009,44.8575268817204
3,2010,36.0712365591398
3,2011,51.2217741935484
3,2012,39.6922043010753
3,2013,50.372311827957
3,2014,38.4825268817204
3,2015,48.2231182795699
3,2016,36.5564516129032
3,2017,47.133064516129
3,2018,55.2647849462366
3,2019,50.6626344086022
3,2020,57.6263440860215
4,2005,59.8333333333333
4,2006,47.9916666666667
4,2007,37.65
4,2008,47.3541666666667
4,2009,46.6375
4,2010,35.175
4,2011,51.1361111111111
4,2012,37.8791666666667
4,2013,53.5097222222222
4,2014,36.4777777777778
4,2015,57.9930555555556
4,2016,51.3819444444444
4,2017,52.8805555555556
4,2018,51.35
4,2019,66.1986111111111
4,2020,54.3416666666667
5,2005,58.4220430107527
5,2006,38.3548387096774
5,2007,36.6666666666667
5,2008,42.2701612903226
5,2009,39.1532258064516
5,2010,42.9610215053763
5,2011,50.752688172043
5,2012,45.8884408602151
5,2013,48.747311827957
5,2014,32.7069892473118
5,2015,46.6572580645161
5,2016,50.9838709677419
5,2017,62.9153225806452
5,2018,41.8266129032258
5,2019,68.0698924731183
5,2020,51.4556451612903
6,2005,44.5361111111111
6,2006,26.6569444444444
6,2007,33.5916666666667
6,2008,23.1930555555556
6,2009,31.3125
6,2010,31.5625
6,2011,35.8152777777778
6,2012,30.3458333333333
6,2013,30.4972222222222
6,2014,24.9930555555556
6,2015,49.575
6,2016,34.1805555555556
6,2017,32.1541666666667
6,2018,36.6805555555556
6,2019,31.7527777777778
6,2020,31.4152777777778
7,2005,30.7379032258065
7,2006,25.9422043010753
7,2007,27.7190860215054
7,2008,23.491935483871
7,2009,25.127688172043
7,2010,20.7056451612903
7,2011,20.6841397849462
7,2012,27.2540322580645
7,2013,25.5282258064516
7,2014,23.635752688172
7,2015,44.6397849462366
7,2016,30.8225806451613
7,2017,34.1720430107527
7,2018,40.369623655914
7,2019,32.3561827956989
7,2020,30.7217741935484
8,2005,27.3400537634409
8,2006,26.2123655913978
8,2007,24.4489247311828
8,2008,23.4206989247312
8,2009,24.1451612903226
8,2010,19.9166666666667
8,2011,19.6733870967742
8,2012,27.5524193548387
8,2013,23.5174731182796
8,2014,24.1975806451613
8,2015,38.0228494623656
8,2016,30.2634408602151
8,2017,27.9744623655914
8,2018,30.1182795698925
8,2019,31.8655913978495
8,2020,21.3575268817204
9,2005,28.7430555555556
9,2006,23.6930555555556
9,2007,26.2277777777778
9,2008,22.5347222222222
9,2009,19.0847222222222
9,2010,18.8430555555556
9,2011,26.0375
9,2012,28.5194444444444
9,2013,21.35
9,2014,19.1916666666667
9,2015,36.2180555555556
9,2016,31.3666666666667
9,2017,29.8
9,2018,33.5847222222222
9,2019,28.6083333333333
9,2020,27.3638888888889
10,2005,33.244623655914
10,2006,24.4704301075269
10,2007,28.614247311828
10,2008,26.4408602150538
10,2009,23.755376344086
10,2010,37.9206989247312
10,2011,28.2809139784946
10,2012,34.9529569892473
10,2013,28.8145161290323
10,2014,29.005376344086
10,2015,41.0322580645161
10,2016,31.7432795698925
10,2017,32.0806451612903
10,2018,29.7956989247312
10,2019,25.5376344086022
10,2020,33.5134408602151
11,2005,43.65
11,2006,33.3416666666667
11,2007,36.7958333333333
11,2008,34.6041666666667
11,2009,31.8736111111111
11,2010,47.4583333333333
11,2011,37.6583333333333
11,2012,40.7527777777778
11,2013,30.9986111111111
11,2014,55.2791666666667
11,2015,48.8180555555556
11,2016,39.9708333333333
11,2017,49.3194444444444
11,2018,43.9430555555556
11,2020,41.5472222222222
12,2005,56.4193548387097
12,2006,35.0255376344086
12,2007,49.9220430107527
12,2008,47.7876344086022
12,2009,37.5336021505376
12,2010,60.8346774193548
12,2011,52.1478494623656
12,2012,54.5255376344086
12,2013,39.489247311828
12,2014,59.8548387096774
12,2015,62.380376344086
12,2016,43.4180107526882
12,2017,64.5174731182796
12,2018,53.7405913978495
12,2020,44.4623655913978
NA,NA,NA
