FECHA,HORA,ACO,AJM,ATI,BJU,CAM,CHO,CUA,CUT,FAC,HGM,INN,IZT,MER,MGH,PED,SAG,SFE,SUR,TAH,TLA,TLI,UIZ,VIF,XAL,,,
01/01/2015,18,26,-99,11,-99,11,-99,-99,46,-99,24,-99,18,18,15,19,38,-99,10,-99,-99,14,22,8,-99,,,
01/01/2015,19,33,-99,27,-99,17,27,-99,57,18,-99,-99,24,26,12,27,17,-99,16,-99,-99,34,15,35,-99,,,
01/01/2015,20,27,-99,42,-99,23,53,-99,44,65,27,-99,29,44,31,18,30,-99,17,-99,-99,33,36,14,-99,,,
01/01/2015,21,38,-99,36,-99,34,35,-99,66,42,31,-99,42,45,54,29,43,-99,29,-99,-99,32,37,31,-99,,,
01/01/2015,22,54,-99,20,-99,30,46,-99,99,50,34,-99,35,44,40,23,38,-99,22,-99,-99,55,39,61,-99,,,
01/01/2015,23,69,-99,51,-99,43,12,-99,72,53,41,-99,34,64,37,9,38,-99,19,-99,-99,49,44,148,-99,,,
01/01/2015,24,60,-99,28,-99,46,9,-99,49,16,32,-99,32,51,36,14,40,-99,18,-99,-99,69,32,196,-99,,,
02/01/2015,1,57,-99,8,-99,42,10,-99,48,6,22,-99,25,48,31,19,42,-99,7,-99,-99,67,32,70,-99,,,
02/01/2015,2,49,-99,7,-99,39,-99,-99,35,7,25,-99,27,40,25,9,40,-99,14,-99,-99,68,31,81,-99,,,
02/01/2015,3,38,-99,8,-99,27,-99,-99,34,7,20,-99,26,54,20,16,39,-99,13,-99,-99,62,19,65,-99,,,
02/01/2015,4,31,-99,9,-99,27,-99,-99,45,8,14,-99,26,59,17,14,45,-99,17,-99,-99,56,16,63,-99,,,
02/01/2015,5,21,-99,14,-99,49,18,-99,44,10,14,-99,22,45,17,16,36,-99,16,-99,-99,48,25,75,-99,,,
02/01/2015,6,21,-99,15,-99,39,30,-99,49,13,24,-99,20,30,23,5,27,-99,17,-99,-99,51,28,42,-99,,,
02/01/2015,7,22,-99,30,-99,47,46,-99,101,21,32,-99,25,36,27,8,63,-99,24,-99,-99,59,27,57,-99,,,
02/01/2015,8,25,-99,55,-99,76,87,-99,152,48,48,-99,29,55,41,11,91,-99,44,-99,-99,70,45,82,-99,,,
02/01/2015,9,22,-99,90,-99,52,94,-99,174,67,54,-99,26,63,41,24,99,-99,43,-99,-99,96,51,79,-99,,,
02/01/2015,10,24,-99,68,-99,56,91,-99,141,75,46,-99,23,60,51,38,58,-99,29,-99,-99,108,59,104,-99,,,
02/01/2015,11,13,-99,60,-99,58,22,-99,80,32,33,-99,43,64,46,39,26,-99,51,-99,-99,98,53,95,-99,,,
02/01/2015,12,21,-99,14,-99,43,30,-99,41,28,58,-99,44,44,42,37,26,-99,8,-99,-99,15,-99,44,-99,,,
02/01/2015,13,20,-99,27,-99,24,-99,-99,32,-99,33,-99,20,40,29,35,38,-99,10,-99,-99,34,-99,15,-99,,,
02/01/2015,14,30,-99,11,-99,29,12,-99,25,-99,23,-99,21,-99,22,-99,62,-99,22,-99,-99,7,-99,9,-99,,,
02/01/2015,15,38,-99,19,-99,27,35,-99,27,13,30,-99,34,31,20,-99,57,-99,24,-99,-99,25,-99,37,-99,,,
02/01/2015,16,49,-99,23,-99,25,33,-99,44,28,39,-99,30,21,15,-99,36,-99,23,-99,-99,42,-99,15,-99,,,
02/01/2015,17,38,-99,26,-99,20,47,-99,118,28,-99,-99,23,40,12,-99,50,-99,15,-99,-99,35,-99,29,-99,,,
02/01/2015,18,29,-99,23,-99,20,37,-99,92,25,27,-99,24,20,16,-99,-99,-99,17,-99,-99,44,27,26,-99,,,
02/01/2015,19,34,-99,19,-99,24,64,-99,48,32,14,-99,25,27,14,39,-99,-99,23,-99,-99,33,28,45,-99,,,
02/01/2015,20,36,-99,20,-99,20,64,-99,42,30,21,-99,20,35,19,27,45,-99,18,-99,-99,37,22,42,-99,,,
02/01/2015,21,39,-99,30,-99,18,38,-99,44,45,24,-99,21,23,20,30,38,-99,18,-99,-99,46,34,49,-99,,,
02/01/2015,22,50,-99,29,-99,24,15,-99,83,25,25,-99,24,24,25,17,49,-99,12,-99,-99,48,30,43,-99,,,
02/01/2015,23,46,-99,30,-99,24,22,-99,87,40,26,-99,19,43,27,-99,49,-99,18,-99,-99,48,31,46,-99,,,
02/01/2015,24,46,-99,27,-99,18,32,-99,109,24,26,-99,13,34,24,14,50,-99,11,-99,-99,37,26,21,-99,,,
03/01/2015,1,42,-99,26,-99,18,33,-99,103,15,19,-99,17,39,28,19,34,-99,8,-99,-99,19,39,28,-99,,,
03/01/2015,2,38,-99,16,-99,40,19,-99,84,21,26,-99,9,30,27,8,31,-99,8,-99,-99,17,28,23,-99,,,
03/01/2015,3,34,-99,14,-99,66,11,-99,50,24,30,-99,2,18,23,11,26,-99,12,-99,-99,17,28,6,-99,,,
03/01/2015,4,30,-99,14,-99,43,-99,-99,44,30,28,-99,13,14,22,11,17,-99,11,-99,-99,12,16,20,-99,,,
03/01/2015,5,19,-99,25,-99,31,21,-99,52,30,13,-99,12,17,25,6,19,-99,11,-99,-99,14,12,3,-99,,,
03/01/2015,6,9,-99,29,-99,35,29,-99,75,29,33,-99,14,19,22,5,25,-99,12,-99,-99,16,19,47,-99,,,
03/01/2015,7,23,-99,32,-99,63,23,-99,76,34,58,-99,18,26,22,11,21,-99,20,-99,-99,19,7,96,-99,,,
03/01/2015,8,23,-99,97,-99,94,32,-99,142,56,41,-99,15,53,24,10,26,-99,26,-99,-99,47,25,98,-99,,,
03/01/2015,9,34,-99,130,-99,60,53,-99,182,43,38,-99,20,50,30,30,25,-99,41,-99,-99,93,16,90,-99,,,
03/01/2015,10,29,-99,74,-99,31,20,-99,77,-99,19,-99,8,34,33,40,-99,-99,21,-99,-99,103,27,62,-99,,,
03/01/2015,11,19,-99,14,-99,18,14,-99,35,-99,-99,-99,9,35,19,26,16,-99,8,-99,-99,29,-99,3,-99,,,
03/01/2015,12,22,-99,10,-99,17,16,-99,28,-99,-99,-99,11,19,11,20,49,-99,6,-99,-99,16,30,8,-99,,,
03/01/2015,13,27,-99,16,-99,14,30,-99,26,-99,14,-99,8,12,8,15,35,-99,10,-99,-99,14,26,7,-99,,,
03/01/2015,14,20,-99,19,-99,33,20,-99,14,18,21,-99,8,17,13,9,47,-99,15,-99,-99,11,-99,-99,-99,,,
03/01/2015,15,16,-99,10,-99,12,30,-99,-99,24,9,-99,20,-99,13,16,-99,-99,13,-99,-99,16,13,13,-99,,,
03/01/2015,16,21,-99,13,-99,23,42,-99,16,10,16,-99,13,12,10,7,-99,-99,11,-99,-99,21,25,23,-99,,,
03/01/2015,17,21,-99,19,-99,8,28,-99,23,19,13,-99,24,20,7,18,-99,-99,22,-99,-99,19,20,46,-99,,,
03/01/2015,18,24,-99,28,-99,22,37,-99,33,36,21,-99,24,30,8,22,-99,13,27,-99,-99,53,26,49,-99,,,
03/01/2015,19,28,-99,23,-99,24,35,-99,29,31,10,-99,25,22,15,25,32,17,24,-99,-99,46,31,53,-99,,,
03/01/2015,20,26,-99,29,-99,26,26,-99,40,34,15,-99,24,34,17,12,36,11,29,-99,-99,54,38,57,-99,,,
03/01/2015,21,32,-99,51,-99,23,17,-99,55,27,26,-99,28,47,21,-99,36,19,19,-99,-99,59,25,46,-99,,,
03/01/2015,22,35,-99,43,-99,24,35,-99,-99,36,22,-99,27,46,23,-99,39,27,34,-99,-99,48,39,68,-99,,,
03/01/2015,23,51,-99,41,-99,29,22,-99,-99,44,30,-99,31,40,26,-99,44,22,26,-99,-99,66,36,84,-99,,,
03/01/2015,24,53,-99,11,-99,32,15,-99,85,30,26,-99,29,35,30,-99,44,17,36,-99,-99,66,39,105,-99,,,
04/01/2015,1,41,-99,40,-99,35,14,-99,53,30,27,-99,43,63,33,-99,36,21,32,23,-99,58,44,93,-99,,,
04/01/2015,2,37,-99,29,-99,34,13,-99,49,23,34,-99,42,63,27,-99,42,28,34,27,-99,70,24,91,-99,,,
04/01/2015,3,32,-99,22,-99,12,22,-99,45,19,35,-99,28,27,22,-99,46,11,31,26,-99,55,15,61,-99,,,
04/01/2015,4,29,-99,21,-99,18,15,-99,41,15,36,-99,22,42,26,6,46,-99,30,17,-99,49,36,49,-99,,,
04/01/2015,5,28,-99,14,-99,24,14,-99,36,19,32,-99,34,28,22,10,52,5,25,16,-99,30,29,41,-99,,,
04/01/2015,6,21,-99,19,-99,21,20,-99,33,23,38,-99,31,42,23,14,33,8,18,16,-99,26,33,41,-99,,,
04/01/2015,7,25,-99,29,-99,14,28,-99,39,25,18,-99,24,45,23,13,30,18,24,20,-99,38,35,44,-99,,,
04/01/2015,8,24,-99,31,-99,27,55,-99,54,35,17,-99,28,34,25,16,46,25,36,26,-99,53,37,74,-99,,,
04/01/2015,9,38,-99,54,-99,33,72,-99,108,48,35,-99,29,66,22,14,57,30,44,58,-99,64,50,82,-99,,,
04/01/2015,10,36,-99,42,-99,38,64,-99,117,48,73,-99,41,65,33,35,65,22,45,42,-99,69,57,95,-99,,,
