FECHA,HORA,ACO,AJM,ATI,BJU,CAM,CCA,CHO,COY,CUA,CUT,FAC,FAR,GAM,HGM,INN,IZT,LLA,LPR,MER,MGH,MON,MPA,NEZ,PED,SAC,SAG,SFE,SJA,TAH,TLA,TLI,UAX,UIZ,VIF,XAL
02/01/2019,6,15,19,24,25,33,23,26,-99,28,24,16,-99,24,28,-99,24,29,-99,25,34,20,7,15,22,-99,29,26,-99,20,31,-99,23,21,26,32
02/01/2019,7,16,24,26,23,27,24,30,-99,40,29,26,-99,25,27,-99,22,29,-99,27,32,17,6,18,28,-99,29,34,-99,18,31,-99,24,21,21,30
02/01/2019,8,16,24,25,21,29,24,31,-99,46,29,27,-99,25,28,-99,23,29,-99,29,30,16,6,21,29,-99,30,37,-99,26,33,-99,24,22,25,33
02/01/2019,9,16,23,27,27,37,31,30,-99,33,31,33,-99,28,34,-99,28,31,-99,34,37,14,5,19,32,-99,28,25,-99,23,35,-99,27,26,23,36
02/01/2019,10,14,34,32,36,47,43,30,-99,33,25,41,-99,35,38,-99,30,36,-99,39,49,16,5,20,39,-99,26,24,-99,22,47,-99,32,31,23,41
02/01/2019,11,14,42,37,42,55,42,26,-99,49,28,51,-99,32,46,-99,37,31,-99,44,51,17,5,17,44,-99,28,49,-99,17,60,-99,29,35,23,41
02/01/2019,12,16,37,60,45,38,31,19,-99,63,19,-99,-99,-99,42,-99,35,31,-99,34,41,13,5,22,33,-99,31,54,-99,11,40,-99,35,35,24,34
02/01/2019,13,9,30,41,40,25,31,6,-99,54,16,-99,-99,-99,31,-99,41,17,-99,28,31,9,3,27,30,-99,22,40,-99,11,26,-99,34,37,24,26
02/01/2019,14,10,29,30,32,32,32,6,-99,48,19,-99,-99,-99,35,-99,38,18,-99,32,37,6,3,14,28,-99,19,38,-99,10,27,-99,32,24,18,25
02/01/2019,15,7,35,33,31,38,27,8,-99,48,21,-99,-99,16,38,-99,31,20,-99,40,41,6,3,10,30,-99,15,41,-99,8,31,-99,31,14,15,25
02/01/2019,16,7,32,35,31,39,28,10,-99,12,25,52,-99,26,38,-99,33,14,-99,36,39,8,2,14,31,-99,19,40,-99,4,38,-99,17,19,19,30
02/01/2019,17,10,26,36,23,36,15,14,-99,22,38,51,-99,22,21,-99,23,17,-99,22,34,11,2,19,18,-99,24,37,-99,6,41,-99,7,11,21,29
02/01/2019,18,15,29,44,27,42,20,16,-99,15,36,73,-99,25,30,-99,29,18,-99,28,40,14,3,25,33,-99,29,25,-99,11,48,-99,10,15,31,32
02/01/2019,19,20,26,62,43,58,34,26,-99,21,53,72,-99,28,44,-99,36,33,-99,40,35,17,3,26,42,-99,36,38,-99,22,63,-99,14,20,37,45
02/01/2019,20,38,12,70,54,66,37,40,-99,30,75,69,-99,36,47,-99,43,36,-99,54,30,22,4,40,37,-99,40,43,-99,12,61,-99,19,32,43,50
02/01/2019,21,42,14,61,54,67,33,40,-99,30,70,59,-99,53,57,-99,38,62,-99,57,25,18,3,47,24,-99,48,33,-99,26,65,-99,18,39,51,56
02/01/2019,22,40,21,27,50,69,41,34,-99,32,55,49,-99,56,52,-99,44,59,-99,56,34,14,2,38,27,-99,59,37,-99,23,55,-99,29,39,61,58
02/01/2019,23,52,29,26,50,57,39,39,-99,22,50,45,-99,55,50,-99,49,54,-99,56,38,19,2,46,42,-99,56,42,-99,25,48,-99,29,35,55,58
02/01/2019,24,44,26,31,49,48,33,27,-99,36,44,47,-99,54,50,-99,50,51,-99,50,49,35,2,54,24,-99,51,33,-99,19,46,-99,37,41,49,60
03/01/2019,1,39,20,34,46,44,24,26,-99,37,39,41,-99,50,51,-99,47,47,-99,54,52,29,2,49,15,-99,45,25,-99,17,45,-99,38,45,46,54
03/01/2019,2,34,15,29,43,43,37,26,-99,35,34,33,-99,47,47,-99,46,45,-99,50,49,26,3,46,16,-99,44,27,-99,21,39,-99,33,44,43,50
03/01/2019,3,30,14,26,43,29,38,29,-99,31,31,30,-99,43,46,-99,43,40,-99,47,42,26,5,41,13,-99,38,20,-99,13,43,-99,28,35,41,46
03/01/2019,4,29,10,25,35,43,34,25,-99,27,25,24,-99,39,40,-99,39,38,-99,43,41,25,5,39,21,-99,39,19,-99,11,36,-99,19,31,39,47
03/01/2019,5,27,9,33,27,51,33,24,-99,24,22,20,-99,39,33,-99,31,36,-99,42,43,26,4,36,32,-99,38,25,-99,10,34,-99,17,33,36,45
03/01/2019,6,28,9,33,33,50,31,31,-99,33,22,29,-99,35,38,-99,32,35,-99,38,47,30,3,28,21,-99,35,36,-99,13,35,-99,21,35,36,39
03/01/2019,7,27,13,33,37,47,32,28,-99,48,25,32,-99,34,41,-99,39,34,-99,42,46,24,3,32,30,-99,34,43,-99,23,40,-99,27,35,35,41
03/01/2019,8,27,20,32,38,65,31,28,-99,40,23,32,-99,36,41,-99,36,38,-99,47,49,23,4,32,35,-99,35,47,-99,19,42,-99,28,39,31,45
03/01/2019,9,28,21,32,42,53,33,39,-99,26,28,34,-99,42,48,-99,37,41,-99,52,47,29,7,31,39,-99,40,45,-99,29,56,-99,29,45,33,53
03/01/2019,10,30,26,45,53,63,44,41,-99,23,47,43,-99,47,62,-99,58,47,-99,67,54,35,9,33,57,-99,43,36,-99,29,61,-99,42,55,41,60
03/01/2019,11,26,39,49,60,89,48,-99,-99,23,38,52,-99,50,58,-99,81,63,-99,90,70,47,8,51,54,-99,49,36,-99,28,77,-99,50,71,54,66
03/01/2019,12,23,37,67,55,70,44,10,-99,23,51,68,-99,51,50,-99,64,46,-99,79,48,31,12,63,48,-99,47,37,-99,20,95,-99,25,53,58,46
03/01/2019,13,17,32,91,42,59,33,6,-99,37,35,86,-99,28,-99,-99,72,47,-99,81,52,22,7,45,42,-99,34,49,-99,11,71,-99,23,41,43,31
03/01/2019,14,13,30,75,59,38,31,8,-99,45,26,81,-99,19,-99,-99,65,49,-99,57,66,12,5,25,30,-99,22,45,-99,25,78,-99,30,38,-99,30
03/01/2019,15,11,25,33,57,40,38,8,-99,40,22,68,-99,18,-99,-99,32,48,-99,42,61,7,8,16,29,-99,19,39,-99,8,64,-99,26,24,19,32
03/01/2019,16,13,20,22,37,36,32,10,-99,38,15,41,-99,16,-99,-99,25,46,-99,33,56,6,3,13,29,-99,25,38,-99,6,51,-99,14,17,14,31
03/01/2019,17,11,27,27,24,35,26,10,-99,45,14,45,-99,17,-99,-99,22,40,-99,28,49,9,3,16,27,-99,31,38,-99,7,45,-99,9,15,11,33
03/01/2019,18,23,38,34,28,45,28,11,-99,58,24,65,-99,20,-99,-99,30,46,-99,34,63,14,2,19,30,-99,38,47,-99,9,57,-99,11,18,15,60
03/01/2019,19,25,38,58,38,63,35,15,-99,73,25,82,-99,30,45,-99,48,26,-99,39,53,15,3,25,31,-99,33,63,-99,19,62,-99,17,23,51,44
03/01/2019,20,33,28,75,42,55,36,25,-99,68,59,81,-99,34,52,-99,49,39,-99,47,51,17,3,33,48,-99,41,69,-99,43,65,-99,26,26,46,41
