FECHA,HORA,ACO,ATI,CAM,CHO,COY,CCA,CUA,CUT,FAC,HGM,IZT,LLA,LPR,MER,MON,NEZ,PED,SAG,SFE,SJA,SUR,TAH,TLA,TLI,TPN,UAX,UIZ,VIF,XAL
02/01/2014,1,-99,16,38,-99,38,-99,21,-99,23,32,33,-99,-99,44,24,38,20,34,21,39,35,27,42,33,9,31,41,39,-99
02/01/2014,2,-99,13,33,-99,35,-99,19,28,19,36,34,-99,-99,41,21,38,20,33,22,36,32,22,38,36,7,27,38,39,-99
02/01/2014,3,-99,8,27,-99,32,-99,12,23,11,32,32,-99,-99,35,20,31,14,31,20,35,31,23,28,26,6,20,35,32,-99
02/01/2014,4,-99,9,20,-99,30,-99,17,20,12,35,28,-99,-99,31,17,26,11,28,18,31,29,17,25,24,6,22,28,27,-99
02/01/2014,5,-99,12,28,-99,28,-99,20,18,15,33,27,-99,-99,32,21,26,9,26,16,28,24,16,25,26,6,19,28,25,31
02/01/2014,6,-99,23,28,-99,26,-99,31,17,19,30,27,-99,-99,35,21,25,11,26,25,30,26,19,28,28,6,21,28,24,29
02/01/2014,7,-99,26,30,-99,24,-99,36,21,22,32,31,-99,-99,34,19,25,16,26,35,29,25,17,28,30,6,22,28,23,28
02/01/2014,8,-99,25,31,-99,25,-99,39,20,29,32,29,-99,-99,50,22,25,25,26,32,31,25,17,30,32,8,24,28,23,30
02/01/2014,9,-99,30,47,-99,32,-99,37,24,31,44,36,-99,-99,51,25,36,29,28,30,31,28,24,34,37,14,25,39,27,34
02/01/2014,10,-99,31,55,-99,42,-99,29,27,40,69,65,-99,-99,51,24,42,40,34,33,38,38,26,44,45,25,33,54,30,51
