FECHA,HORA,MER,TLA,COY,UIZ,SJA,SAG,PER,CAM,ACO
01/01/2007,1,44,61,46,56,88,48,103,54,-99
01/01/2007,2,63,61,117,87,93,52,89,83,-99
01/01/2007,3,105,96,64,75,107,59,97,108,-99
01/01/2007,4,97,89,58,83,104,64,120,120,-99
01/01/2007,5,75,72,47,86,74,60,112,106,-99
01/01/2007,6,56,62,46,78,65,49,67,75,-99
01/01/2007,7,52,53,46,62,32,37,52,54,-99
01/01/2007,8,55,50,45,59,29,36,59,48,-99
01/01/2007,9,58,46,45,58,54,33,-99,53,-99
01/01/2007,10,47,42,51,58,37,35,60,56,-99
01/01/2007,11,72,47,57,85,55,40,71,46,-99
01/01/2007,12,91,89,70,98,76,47,-99,61,-99
01/01/2007,13,95,88,79,102,73,55,-99,77,-99
01/01/2007,14,89,87,79,104,68,59,70,96,-99
01/01/2007,15,79,81,75,107,58,64,83,93,-99
01/01/2007,16,57,77,48,87,38,62,50,94,-99
01/01/2007,17,22,63,19,41,16,59,38,71,-99
01/01/2007,18,49,56,27,26,41,50,29,70,-99
01/01/2007,19,56,54,54,21,42,47,60,72,-99
01/01/2007,20,51,30,53,33,36,47,42,72,-99
01/01/2007,21,31,22,40,37,26,44,44,44,-99
01/01/2007,22,25,22,32,32,19,43,33,31,-99
01/01/2007,23,22,25,35,35,18,36,22,21,-99
01/01/2007,24,26,39,35,31,14,29,25,31,-99
02/01/2007,1,29,40,32,27,17,23,31,43,-99
02/01/2007,2,17,38,22,20,19,22,27,47,-99
02/01/2007,3,13,42,16,19,12,22,22,51,-99
02/01/2007,4,18,46,12,20,21,23,15,47,-99
02/01/2007,5,20,48,13,27,16,25,18,49,-99
02/01/2007,6,22,52,24,21,25,29,-99,51,-99
02/01/2007,7,31,35,25,-99,37,28,-99,52,-99
02/01/2007,8,44,57,29,18,38,26,-99,63,-99
02/01/2007,9,48,70,33,40,42,44,50,76,-99
02/01/2007,10,64,76,39,48,70,55,56,103,-99
