FECHA,HORA,CAM,COY,HGM,MER,NEZ,PED,SAG,SFE,SJA,TLA,UAX,UIZ,XAL,,,,,,,,,,,,,,
03/01/2012,4,6,5,-99,9,-99,2,-99,-99,-99,10,-99,5,-99,,,,,,,,,,,,,,
03/01/2012,5,10,9,-99,15,2,-99,3,-99,-99,10,-99,7,-99,,,,,,,,,,,,,,
03/01/2012,6,7,9,-99,11,-99,6,7,-99,12,11,-99,10,7,,,,,,,,,,,,,,
03/01/2012,7,6,11,-99,12,7,6,5,-99,11,9,-99,15,8,,,,,,,,,,,,,,
03/01/2012,8,8,11,-99,17,9,6,6,-99,2,10,-99,16,8,,,,,,,,,,,,,,
03/01/2012,9,12,15,-99,8,7,13,7,-99,4,12,-99,16,15,,,,,,,,,,,,,,
03/01/2012,10,15,13,-99,15,4,16,6,-99,10,8,-99,17,12,,,,,,,,,,,,,,
03/01/2012,11,16,17,-99,17,11,11,3,-99,4,12,-99,20,14,,,,,,,,,,,,,,
03/01/2012,12,19,18,-99,25,12,11,7,-99,1,16,-99,23,31,,,,,,,,,,,,,,
03/01/2012,13,26,25,-99,22,14,15,12,-99,9,20,-99,-99,32,,,,,,,,,,,,,,
03/01/2012,14,36,27,-99,31,17,18,16,-99,14,25,-99,-99,34,,,,,,,,,,,,,,
03/01/2012,15,31,25,-99,34,21,25,21,-99,15,32,-99,36,34,,,,,,,,,,,,,,
03/01/2012,16,29,36,-99,33,18,27,17,-99,13,35,-99,42,26,,,,,,,,,,,,,,
03/01/2012,17,43,34,-99,31,25,33,19,-99,14,41,-99,38,24,,,,,,,,,,,,,,
03/01/2012,18,37,48,-99,30,-99,36,23,-99,19,35,-99,35,31,,,,,,,,,,,,,,
03/01/2012,19,31,40,-99,27,35,35,22,-99,24,21,-99,44,22,,,,,,,,,,,,,,
03/01/2012,20,25,38,-99,22,24,35,11,-99,12,19,-99,23,15,,,,,,,,,,,,,,
03/01/2012,21,15,32,-99,18,15,29,12,-99,12,14,-99,15,20,,,,,,,,,,,,,,
03/01/2012,22,19,25,-99,20,44,24,9,-99,6,22,-99,12,30,,,,,,,,,,,,,,
03/01/2012,23,16,25,-99,15,25,23,9,-99,12,17,-99,16,29,,,,,,,,,,,,,,
03/01/2012,24,13,23,-99,18,4,27,5,-99,-99,19,-99,19,21,,,,,,,,,,,,,,
04/01/2012,1,22,24,-99,24,8,23,6,-99,24,21,-99,15,27,,,,,,,,,,,,,,
04/01/2012,2,24,24,-99,25,9,24,5,-99,27,25,-99,17,34,,,,,,,,,,,,,,
04/01/2012,3,25,24,-99,30,20,27,16,-99,19,21,-99,21,28,,,,,,,,,,,,,,
04/01/2012,4,18,20,-99,28,15,26,16,-99,20,27,-99,23,31,,,,,,,,,,,,,,
04/01/2012,5,25,29,-99,20,16,29,26,-99,20,27,-99,14,44,,,,,,,,,,,,,,
04/01/2012,6,33,23,-99,17,-99,26,30,-99,23,32,-99,20,38,,,,,,,,,,,,,,
04/01/2012,7,34,25,-99,21,8,29,29,-99,24,42,-99,18,53,,,,,,,,,,,,,,
04/01/2012,8,42,25,-99,34,25,28,20,-99,31,47,-99,24,52,,,,,,,,,,,,,,
04/01/2012,9,52,30,-99,36,21,33,24,-99,19,52,-99,26,75,,,,,,,,,,,,,,
04/01/2012,10,58,41,-99,43,21,34,32,-99,22,52,-99,37,89,,,,,,,,,,,,,,
04/01/2012,11,63,49,-99,45,25,45,37,-99,24,63,-99,52,74,,,,,,,,,,,,,,
04/01/2012,12,78,53,-99,66,38,55,44,-99,37,80,-99,69,85,,,,,,,,,,,,,,
04/01/2012,13,63,66,-99,55,44,49,42,-99,31,64,-99,-99,74,,,,,,,,,,,,,,
04/01/2012,14,44,56,-99,36,20,41,31,-99,12,33,-99,-99,63,,,,,,,,,,,,,,
04/01/2012,15,39,52,-99,49,15,57,25,-99,25,35,-99,-99,41,,,,,,,,,,,,,,
04/01/2012,16,33,46,-99,48,32,48,19,-99,36,53,-99,-99,25,,,,,,,,,,,,,,
04/01/2012,17,35,37,-99,41,38,46,28,-99,30,32,-99,-99,35,,,,,,,,,,,,,,
04/01/2012,18,45,22,-99,31,-99,34,22,-99,33,39,-99,-99,27,,,,,,,,,,,,,,
04/01/2012,19,42,46,-99,35,30,37,32,-99,30,38,-99,-99,31,,,,,,,,,,,,,,
04/01/2012,20,29,42,-99,31,36,33,35,-99,35,34,-99,-99,35,,,,,,,,,,,,,,
04/01/2012,21,34,31,-99,33,42,31,25,-99,28,33,-99,-99,34,,,,,,,,,,,,,,
04/01/2012,22,35,33,-99,31,33,27,23,-99,20,33,-99,29,25,,,,,,,,,,,,,,
04/01/2012,23,31,29,-99,33,28,30,23,-99,21,32,-99,27,21,,,,,,,,,,,,,,
04/01/2012,24,25,32,-99,32,41,20,15,-99,-99,20,-99,29,18,,,,,,,,,,,,,,
05/01/2012,1,19,20,-99,20,19,19,13,-99,19,22,-99,25,12,,,,,,,,,,,,,,
05/01/2012,2,21,18,-99,22,18,22,13,-99,22,17,-99,20,15,,,,,,,,,,,,,,
05/01/2012,3,12,14,-99,23,17,19,22,-99,29,18,-99,25,27,,,,,,,,,,,,,,
05/01/2012,4,16,14,-99,21,13,17,26,-99,66,17,-99,45,32,,,,,,,,,,,,,,
05/01/2012,5,18,15,-99,19,18,13,16,-99,11,16,-99,33,35,,,,,,,,,,,,,,
05/01/2012,6,27,21,-99,28,-99,9,19,-99,23,15,-99,76,39,,,,,,,,,,,,,,
05/01/2012,7,45,24,-99,23,22,10,22,-99,20,21,-99,49,58,,,,,,,,,,,,,,
05/01/2012,8,38,30,-99,30,45,12,24,-99,24,26,-99,45,52,,,,,,,,,,,,,,
05/01/2012,9,35,33,-99,37,59,19,33,-99,28,35,-99,42,53,,,,,,,,,,,,,,
05/01/2012,10,39,32,-99,38,42,27,29,-99,23,36,-99,46,61,,,,,,,,,,,,,,
05/01/2012,11,41,43,-99,38,25,34,38,-99,31,53,-99,44,60,,,,,,,,,,,,,,
05/01/2012,12,53,41,-99,37,25,34,27,-99,33,48,-99,51,53,,,,,,,,,,,,,,
05/01/2012,13,44,54,-99,40,28,55,23,-99,20,46,-99,54,39,,,,,,,,,,,,,,
05/01/2012,14,43,53,-99,37,27,53,26,-99,17,40,-99,49,40,,,,,,,,,,,,,,
05/01/2012,15,35,54,-99,43,21,33,30,-99,18,26,-99,33,41,,,,,,,,,,,,,,
05/01/2012,16,28,28,-99,24,19,21,21,-99,25,40,-99,20,37,,,,,,,,,,,,,,
05/01/2012,17,19,32,-99,21,20,22,23,-99,18,34,-99,21,25,,,,,,,,,,,,,,
05/01/2012,18,21,11,-99,16,-99,18,21,-99,27,26,-99,25,24,,,,,,,,,,,,,,
05/01/2012,19,20,16,-99,24,23,20,26,-99,30,29,-99,22,26,,,,,,,,,,,,,,
05/01/2012,20,21,25,-99,20,24,11,25,-99,22,20,-99,20,29,,,,,,,,,,,,,,
05/01/2012,21,14,17,-99,15,-99,14,27,-99,24,20,-99,19,23,,,,,,,,,,,,,,
05/01/2012,22,15,24,-99,21,22,11,28,-99,18,20,-99,19,33,,,,,,,,,,,,,,
05/01/2012,23,33,20,-99,19,24,9,27,-99,27,41,-99,21,38,,,,,,,,,,,,,,
05/01/2012,24,42,19,-99,23,27,9,27,-99,21,46,-99,18,33,,,,,,,,,,,,,,
06/01/2012,1,50,20,-99,26,25,11,26,-99,31,44,-99,15,40,,,,,,,,,,,,,,
06/01/2012,2,48,15,-99,47,31,11,29,-99,41,46,-99,28,41,,,,,,,,,,,,,,
06/01/2012,3,46,33,-99,38,35,19,26,-99,35,43,-99,36,64,,,,,,,,,,,,,,
06/01/2012,4,45,42,-99,35,29,22,28,-99,36,27,-99,33,46,,,,,,,,,,,,,,
06/01/2012,5,44,37,-99,33,28,18,32,-99,39,28,-99,30,62,,,,,,,,,,,,,,
06/01/2012,6,60,36,-99,44,24,9,25,-99,32,28,-99,32,75,,,,,,,,,,,,,,
06/01/2012,7,57,37,-99,62,32,22,30,-99,34,47,-99,46,81,,,,,,,,,,,,,,
06/01/2012,8,66,34,-99,71,31,15,36,-99,43,44,-99,50,119,,,,,,,,,,,,,,
06/01/2012,9,66,35,-99,53,36,19,34,-99,42,43,-99,51,90,,,,,,,,,,,,,,
06/01/2012,10,70,40,-99,39,49,20,41,-99,44,59,-99,24,78,,,,,,,,,,,,,,
06/01/2012,11,32,18,-99,28,26,18,27,-99,43,44,-99,-99,68,,,,,,,,,,,,,,
06/01/2012,12,21,30,-99,22,14,15,26,-99,17,24,-99,-99,50,,,,,,,,,,,,,,
06/01/2012,13,19,14,-99,20,12,15,19,-99,-99,37,-99,-99,37,,,,,,,,,,,,,,
06/01/2012,14,14,22,-99,18,16,20,36,-99,-99,30,-99,-99,33,,,,,,,,,,,,,,
06/01/2012,15,20,26,-99,19,16,13,37,-99,7,28,-99,-99,34,,,,,,,,,,,,,,
06/01/2012,16,22,29,-99,18,19,13,21,-99,7,14,-99,-99,39,,,,,,,,,,,,,,
06/01/2012,17,17,40,-99,20,22,18,-99,-99,13,27,-99,-99,25,,,,,,,,,,,,,,
06/01/2012,18,14,7,-99,20,19,18,-99,-99,21,3,-99,-99,25,,,,,,,,,,,,,,
06/01/2012,19,18,6,-99,19,27,14,27,-99,31,28,-99,-99,31,,,,,,,,,,,,,,
06/01/2012,20,23,20,-99,19,30,16,27,-99,38,29,-99,-99,44,,,,,,,,,,,,,,
06/01/2012,21,35,20,-99,22,31,-99,26,-99,24,33,-99,-99,41,,,,,,,,,,,,,,
06/01/2012,22,48,26,-99,23,29,14,22,-99,55,33,-99,-99,45,,,,,,,,,,,,,,
06/01/2012,23,36,25,-99,35,26,13,19,-99,42,28,-99,-99,33,,,,,,,,,,,,,,
06/01/2012,24,29,24,-99,31,28,18,24,-99,-99,32,-99,-99,29,,,,,,,,,,,,,,
07/01/2012,1,26,25,-99,34,27,19,25,-99,43,26,-99,-99,21,,,,,,,,,,,,,,
07/01/2012,2,21,21,-99,30,34,20,29,-99,36,18,-99,-99,35,,,,,,,,,,,,,,
07/01/2012,3,21,22,-99,30,58,23,37,-99,32,14,-99,-99,42,,,,,,,,,,,,,,
07/01/2012,4,24,26,-99,29,54,23,30,-99,34,19,-99,-99,36,,,,,,,,,,,,,,
07/01/2012,5,19,29,-99,34,53,18,43,-99,32,15,-99,-99,38,,,,,,,,,,,,,,
07/01/2012,6,29,26,-99,26,41,16,33,-99,34,17,-99,-99,58,,,,,,,,,,,,,,
07/01/2012,7,32,26,-99,41,34,20,21,-99,44,20,-99,-99,54,,,,,,,,,,,,,,
07/01/2012,8,49,29,-99,59,41,19,30,-99,43,28,-99,-99,77,,,,,,,,,,,,,,
07/01/2012,9,48,29,-99,46,37,30,55,-99,33,26,-99,-99,83,,,,,,,,,,,,,,
07/01/2012,10,56,30,-99,55,40,29,49,-99,31,36,-99,-99,87,,,,,,,,,,,,,,
07/01/2012,11,59,47,-99,53,45,24,46,-99,40,46,-99,-99,85,,,,,,,,,,,,,,
07/01/2012,12,52,28,-99,41,37,24,41,-99,28,39,-99,-99,53,,,,,,,,,,,,,,
07/01/2012,13,38,63,-99,36,22,21,26,-99,14,41,-99,-99,43,,,,,,,,,,,,,,
07/01/2012,14,32,45,-99,34,29,34,30,-99,15,57,-99,-99,33,,,,,,,,,,,,,,
07/01/2012,15,30,35,-99,36,32,24,32,-99,20,50,-99,-99,29,,,,,,,,,,,,,,
07/01/2012,16,30,35,-99,48,34,22,27,-99,27,46,-99,-99,33,,,,,,,,,,,,,,
07/01/2012,17,31,19,-99,48,36,16,28,-99,28,38,-99,-99,39,,,,,,,,,,,,,,
07/01/2012,18,40,48,-99,43,23,30,29,-99,27,36,-99,-99,35,,,,,,,,,,,,,,
07/01/2012,19,35,39,-99,23,17,35,26,-99,24,36,-99,-99,39,,,,,,,,,,,,,,
07/01/2012,20,29,33,-99,31,28,34,27,-99,31,31,-99,-99,29,,,,,,,,,,,,,,
07/01/2012,21,33,35,-99,26,25,36,26,-99,25,29,-99,-99,31,,,,,,,,,,,,,,
07/01/2012,22,34,44,-99,30,29,38,23,-99,31,68,-99,-99,45,,,,,,,,,,,,,,
07/01/2012,23,35,45,-99,28,29,35,24,-99,28,56,-99,-99,42,,,,,,,,,,,,,,
07/01/2012,24,34,46,-99,28,23,29,29,-99,27,46,-99,-99,33,,,,,,,,,,,,,,
08/01/2012,1,27,48,-99,29,27,30,26,-99,35,39,-99,-99,42,,,,,,,,,,,,,,
08/01/2012,2,35,42,-99,32,28,26,41,-99,32,34,-99,-99,37,,,,,,,,,,,,,,
08/01/2012,3,37,39,-99,31,22,26,32,-99,35,36,-99,-99,36,,,,,,,,,,,,,,
08/01/2012,4,26,37,-99,27,19,27,37,-99,33,25,-99,-99,34,,,,,,,,,,,,,,
08/01/2012,5,25,32,-99,31,18,22,30,-99,29,27,-99,-99,39,,,,,,,,,,,,,,
08/01/2012,6,30,29,-99,37,29,19,32,-99,33,26,-99,-99,43,,,,,,,,,,,,,,
08/01/2012,7,32,26,-99,28,48,25,44,-99,38,21,-99,-99,35,,,,,,,,,,,,,,
08/01/2012,8,30,29,-99,28,48,18,45,-99,44,24,-99,-99,29,,,,,,,,,,,,,,
08/01/2012,9,33,29,-99,36,72,16,56,-99,43,36,-99,-99,47,,,,,,,,,,,,,,
08/01/2012,10,50,35,-99,31,42,18,39,-99,40,48,-99,-99,42,,,,,,,,,,,,,,
08/01/2012,11,47,25,-99,23,40,23,26,-99,38,35,-99,-99,30,,,,,,,,,,,,,,
08/01/2012,12,21,42,-99,34,10,17,18,-99,21,27,-99,-99,28,,,,,,,,,,,,,,
08/01/2012,13,21,14,-99,16,5,17,8,-99,3,22,-99,-99,20,,,,,,,,,,,,,,
08/01/2012,14,14,29,-99,7,8,11,8,-99,-99,24,-99,-99,10,,,,,,,,,,,,,,
08/01/2012,15,15,18,-99,16,10,14,12,-99,-99,20,-99,-99,12,,,,,,,,,,,,,,
08/01/2012,16,17,14,-99,11,15,9,8,-99,11,10,-99,-99,13,,,,,,,,,,,,,,
08/01/2012,17,17,16,-99,12,19,6,25,-99,16,16,-99,-99,22,,,,,,,,,,,,,,
08/01/2012,18,16,11,-99,14,-99,12,27,-99,17,18,-99,-99,19,,,,,,,,,,,,,,
08/01/2012,19,12,25,-99,10,14,15,17,-99,21,14,-99,-99,18,,,,,,,,,,,,,,
08/01/2012,20,15,10,-99,18,18,15,11,-99,34,16,-99,-99,20,,,,,,,,,,,,,,
08/01/2012,21,18,22,-99,22,19,16,17,-99,13,21,-99,-99,-99,,,,,,,,,,,,,,
08/01/2012,22,14,19,-99,20,20,18,35,-99,28,12,-99,-99,-99,,,,,,,,,,,,,,
08/01/2012,23,11,20,-99,18,14,10,79,-99,16,14,-99,-99,1,,,,,,,,,,,,,,
08/01/2012,24,19,19,-99,17,17,11,39,-99,-99,16,-99,-99,27,,,,,,,,,,,,,,
09/01/2012,1,29,15,-99,8,13,11,18,-99,17,21,-99,-99,25,,,,,,,,,,,,,,
09/01/2012,2,15,19,-99,9,14,8,16,-99,19,-99,-99,-99,17,,,,,,,,,,,,,,
09/01/2012,3,13,14,-99,10,9,10,16,-99,15,14,-99,-99,22,,,,,,,,,,,,,,
09/01/2012,4,15,15,-99,14,10,12,16,-99,11,15,-99,-99,23,,,,,,,,,,,,,,
09/01/2012,5,20,15,-99,22,9,7,12,-99,8,12,-99,-99,22,,,,,,,,,,,,,,
09/01/2012,6,19,15,-99,17,-99,8,12,-99,20,15,-99,-99,17,,,,,,,,,,,,,,
09/01/2012,7,36,16,-99,25,8,9,15,-99,16,18,-99,-99,13,,,,,,,,,,,,,,
09/01/2012,8,34,20,-99,30,15,6,15,-99,22,24,-99,-99,24,,,,,,,,,,,,,,
09/01/2012,9,-99,17,-99,20,16,9,13,-99,17,31,-99,-99,32,,,,,,,,,,,,,,
09/01/2012,10,-99,29,-99,19,11,7,14,-99,21,38,-99,-99,22,,,,,,,,,,,,,,
09/01/2012,11,3,34,-99,13,6,5,1,-99,2,25,-99,-99,12,,,,,,,,,,,,,,
09/01/2012,12,11,-99,-99,8,4,7,-99,-99,2,29,-99,-99,16,,,,,,,,,,,,,,
09/01/2012,13,14,-99,-99,-99,9,11,10,-99,-99,20,-99,-99,14,,,,,,,,,,,,,,
09/01/2012,14,14,-99,-99,-99,8,9,6,-99,1,21,-99,-99,14,,,,,,,,,,,,,,
09/01/2012,15,9,19,-99,20,14,15,16,-99,7,6,-99,-99,14,,,,,,,,,,,,,,
09/01/2012,16,13,20,-99,17,21,17,18,-99,22,14,-99,-99,23,,,,,,,,,,,,,,
09/01/2012,17,11,32,-99,18,23,17,21,-99,23,15,-99,-99,28,,,,,,,,,,,,,,
09/01/2012,18,10,11,-99,20,-99,9,21,-99,18,12,-99,-99,24,,,,,,,,,,,,,,
09/01/2012,19,9,-99,-99,13,26,6,19,-99,22,9,-99,-99,31,,,,,,,,,,,,,,
09/01/2012,20,6,19,-99,16,22,12,28,-99,33,13,-99,-99,41,,,,,,,,,,,,,,
09/01/2012,21,10,17,-99,14,21,5,22,-99,20,18,-99,-99,29,,,,,,,,,,,,,,
09/01/2012,22,9,16,-99,24,20,12,24,-99,28,13,-99,-99,23,,,,,,,,,,,,,,
09/01/2012,23,23,24,-99,23,15,12,23,-99,18,15,-99,-99,25,,,,,,,,,,,,,,
09/01/2012,24,35,26,-99,22,13,10,8,-99,-99,16,-99,-99,35,,,,,,,,,,,,,,
10/01/2012,1,26,21,-99,18,14,7,15,-99,16,15,-99,-99,36,,,,,,,,,,,,,,
10/01/2012,2,18,19,-99,25,10,7,25,-99,22,14,-99,-99,24,,,,,,,,,,,,,,
10/01/2012,3,12,16,-99,19,15,7,25,-99,17,11,-99,-99,38,,,,,,,,,,,,,,
10/01/2012,4,11,6,-99,20,10,5,8,-99,36,12,-99,-99,34,,,,,,,,,,,,,,
10/01/2012,5,13,6,-99,13,6,5,-99,-99,24,6,-99,-99,35,,,,,,,,,,,,,,
10/01/2012,6,15,11,-99,22,-99,9,-99,-99,19,12,-99,-99,27,,,,,,,,,,,,,,
10/01/2012,7,25,-99,-99,24,19,10,26,-99,25,14,-99,-99,24,,,,,,,,,,,,,,
10/01/2012,8,31,24,-99,39,28,10,40,-99,27,16,-99,-99,40,,,,,,,,,,,,,,
10/01/2012,9,28,20,-99,27,26,7,43,-99,53,35,-99,-99,48,,,,,,,,,,,,,,
10/01/2012,10,33,29,-99,36,33,12,-99,-99,36,40,-99,-99,49,,,,,,,,,,,,,,
10/01/2012,11,46,37,-99,42,28,13,-99,-99,33,36,-99,-99,37,,,,,,,,,,,,,,
10/01/2012,12,29,6,-99,30,18,26,-99,-99,7,34,-99,-99,32,,,,,,,,,,,,,,
10/01/2012,13,30,17,-99,28,17,32,17,-99,-99,14,-99,-99,29,,,,,,,,,,,,,,
10/01/2012,14,6,41,-99,31,16,25,24,-99,13,7,-99,-99,29,,,,,,,,,,,,,,
10/01/2012,15,16,49,-99,17,19,25,24,-99,17,17,-99,-99,25,,,,,,,,,,,,,,
10/01/2012,16,12,27,-99,20,17,17,29,-99,5,12,-99,-99,21,,,,,,,,,,,,,,
10/01/2012,17,9,8,-99,17,15,3,8,-99,14,9,-99,-99,18,,,,,,,,,,,,,,
10/01/2012,18,8,27,-99,13,-99,3,-99,-99,5,11,-99,-99,17,,,,,,,,,,,,,,
10/01/2012,19,4,6,-99,10,7,7,-99,-99,7,3,-99,-99,12,,,,,,,,,,,,,,
10/01/2012,20,8,4,-99,18,14,-99,6,-99,22,8,-99,-99,14,,,,,,,,,,,,,,
10/01/2012,21,11,9,-99,10,19,7,14,-99,19,6,-99,-99,14,,,,,,,,,,,,,,
10/01/2012,22,10,16,-99,11,25,11,21,-99,9,13,-99,-99,8,,,,,,,,,,,,,,
10/01/2012,23,6,12,-99,13,19,11,21,-99,25,7,-99,-99,30,,,,,,,,,,,,,,
10/01/2012,24,11,18,-99,14,18,-99,28,-99,-99,5,-99,-99,36,,,,,,,,,,,,,,
11/01/2012,1,13,13,-99,13,16,-99,41,-99,6,9,-99,-99,23,,,,,,,,,,,,,,
11/01/2012,2,15,13,-99,12,10,6,16,-99,23,14,-99,-99,26,,,,,,,,,,,,,,
11/01/2012,3,18,8,-99,15,6,1,14,-99,11,14,-99,-99,17,,,,,,,,,,,,,,
11/01/2012,4,17,8,-99,20,6,2,13,-99,18,12,-99,-99,17,,,,,,,,,,,,,,
11/01/2012,5,15,6,-99,10,7,2,11,-99,8,5,-99,-99,19,,,,,,,,,,,,,,
11/01/2012,6,20,-99,-99,19,-99,6,10,-99,13,9,-99,-99,17,,,,,,,,,,,,,,
11/01/2012,7,26,-99,-99,27,11,6,24,-99,13,14,-99,-99,30,,,,,,,,,,,,,,
11/01/2012,8,34,-99,-99,30,14,7,32,-99,19,24,-99,-99,63,,,,,,,,,,,,,,
11/01/2012,9,42,16,-99,23,30,5,31,-99,26,-99,-99,-99,89,,,,,,,,,,,,,,
11/01/2012,10,32,21,-99,29,21,11,31,-99,32,-99,-99,-99,67,,,,,,,,,,,,,,
11/01/2012,11,45,40,-99,22,9,8,-99,-99,35,-99,-99,-99,37,,,,,,,,,,,,,,
11/01/2012,12,23,-99,-99,12,7,18,12,-99,3,-99,-99,-99,-99,,,,,,,,,,,,,,
11/01/2012,13,19,-99,-99,7,5,13,8,-99,-99,-99,-99,-99,-99,,,,,,,,,,,,,,
11/01/2012,14,8,-99,-99,5,1,9,12,-99,-99,-99,-99,-99,7,,,,,,,,,,,,,,
11/01/2012,15,9,5,-99,11,7,-99,9,-99,-99,-99,-99,-99,8,,,,,,,,,,,,,,
11/01/2012,16,12,12,-99,16,11,14,7,-99,14,-99,-99,-99,8,,,,,,,,,,,,,,
11/01/2012,17,11,16,-99,17,19,4,12,-99,17,-99,-99,-99,11,,,,,,,,,,,,,,
11/01/2012,18,10,14,-99,16,-99,5,-99,-99,14,4,-99,-99,15,,,,,,,,,,,,,,
11/01/2012,19,9,15,-99,12,23,8,20,-99,15,8,-99,-99,24,,,,,,,,,,,,,,
11/01/2012,20,10,11,-99,8,23,13,25,-99,30,8,-99,-99,29,,,,,,,,,,,,,,
