FECHA,HORA,ACO,CAM,FAC,IZT,MER,PED,SAG,SUR,TAH,TLA,TLI,UIZ,VIF,XAL,,,,,,,,
02/01/2011,11,-99,-99,33,59,59,41,71,48,66,47,32,-99,78,-99,,,,,,,,
02/01/2011,12,-99,-99,34,54,58,51,49,45,62,44,8,-99,34,53,,,,,,,,
02/01/2011,13,-99,-99,42,45,60,52,42,46,65,50,80,-99,34,36,,,,,,,,
02/01/2011,14,-99,-99,38,47,54,61,43,53,71,59,102,-99,13,20,,,,,,,,
02/01/2011,15,-99,-99,40,47,61,61,57,34,-99,41,17,-99,11,27,,,,,,,,
02/01/2011,16,-99,-99,40,50,55,40,66,-99,16,48,-99,-99,18,46,,,,,,,,
02/01/2011,17,-99,-99,19,22,29,27,46,33,38,46,-99,-99,44,-99,,,,,,,,
02/01/2011,18,-99,-99,25,31,33,26,48,23,42,38,71,-99,44,17,,,,,,,,
02/01/2011,19,-99,-99,50,34,39,37,53,60,43,37,225,-99,114,44,,,,,,,,
02/01/2011,20,-99,-99,66,40,54,37,63,52,33,51,85,-99,81,93,,,,,,,,
02/01/2011,21,-99,-99,29,59,68,32,54,92,63,37,45,-99,45,88,,,,,,,,
02/01/2011,22,-99,-99,25,35,45,32,53,42,91,26,26,-99,42,85,,,,,,,,
02/01/2011,23,-99,-99,23,23,45,24,57,36,42,34,25,-99,28,81,,,,,,,,
02/01/2011,24,-99,-99,26,26,42,24,69,38,42,39,3,-99,38,69,,,,,,,,
03/01/2011,1,-99,-99,40,35,47,19,65,14,40,33,11,-99,43,48,,,,,,,,
03/01/2011,2,-99,-99,23,46,68,19,70,26,40,24,19,-99,43,58,,,,,,,,
03/01/2011,3,-99,-99,24,45,61,19,74,16,41,21,43,-99,51,63,,,,,,,,
03/01/2011,4,-99,-99,22,40,55,10,81,24,39,18,33,-99,50,83,,,,,,,,
03/01/2011,5,-99,-99,21,44,62,9,60,35,36,22,47,-99,58,67,,,,,,,,
03/01/2011,6,-99,-99,23,63,88,16,86,38,34,21,52,-99,56,79,,,,,,,,
03/01/2011,7,-99,-99,29,70,86,11,77,32,30,35,105,-99,80,87,,,,,,,,
03/01/2011,8,-99,-99,51,80,95,17,72,52,69,33,181,-99,90,148,,,,,,,,
03/01/2011,9,-99,-99,72,63,93,33,80,76,98,53,111,-99,117,151,,,,,,,,
03/01/2011,10,-99,-99,62,52,96,49,79,70,108,66,119,-99,113,-99,,,,,,,,
03/01/2011,11,-99,-99,91,69,102,49,64,56,-99,84,123,-99,120,-99,,,,,,,,
03/01/2011,12,-99,-99,56,54,-99,45,49,41,55,61,65,-99,136,37,,,,,,,,
03/01/2011,13,-99,-99,27,30,-99,40,31,24,39,33,74,-99,18,-99,,,,,,,,
