FECHA,HORA,ACO,ATI,CAM,CHO,CUA,CUT,FAC,HGM,IZT,MER,PED,SAG,SFE,SUR,TAH,TLA,TLI,UIZ,VIF,XAL,,,,,,,,
02/01/2014,23,-99,-99,11,18,7,6,-99,16,10,10,-99,-99,14,3,-99,18,-99,16,-99,16,,,,,,,,
02/01/2014,24,-99,-99,10,5,4,10,-99,14,8,16,-99,-99,6,4,-99,15,-99,6,-99,13,,,,,,,,
03/01/2014,1,-99,-99,4,6,-99,11,-99,10,13,5,4,-99,7,-99,-99,16,-99,-99,-99,10,,,,,,,,
03/01/2014,2,-99,-99,-99,-99,-99,-99,-99,4,1,12,7,-99,8,1,-99,18,-99,-99,-99,11,,,,,,,,
03/01/2014,3,-99,-99,6,-99,5,-99,-99,11,8,12,9,-99,11,3,-99,21,-99,-99,-99,11,,,,,,,,
03/01/2014,4,-99,-99,6,-99,10,5,-99,10,2,5,8,-99,-99,-99,-99,16,-99,-99,-99,16,,,,,,,,
03/01/2014,5,-99,5,3,-99,5,4,-99,-99,9,10,6,-99,7,-99,-99,17,-99,-99,-99,10,,,,,,,,
03/01/2014,6,-99,8,6,3,5,16,-99,8,6,7,11,-99,7,3,-99,15,-99,5,-99,28,,,,,,,,
03/01/2014,7,-99,11,12,8,4,14,-99,7,10,17,12,-99,6,11,-99,16,-99,8,-99,22,,,,,,,,
03/01/2014,8,-99,44,13,20,10,28,18,13,15,24,13,-99,13,10,7,17,4,13,-99,34,,,,,,,,
03/01/2014,9,-99,23,20,35,7,26,14,22,17,28,-99,-99,18,16,17,29,11,13,-99,35,,,,,,,,
03/01/2014,10,-99,33,30,33,20,21,13,26,12,33,16,-99,22,22,18,33,14,22,-99,32,,,,,,,,
03/01/2014,11,-99,30,28,31,19,25,12,23,14,35,18,-99,29,16,24,40,25,27,-99,33,,,,,,,,
03/01/2014,12,-99,26,27,47,26,31,17,31,32,50,-99,-99,12,23,19,38,32,33,6,51,,,,,,,,
03/01/2014,13,-99,30,47,47,33,51,24,49,38,61,-99,-99,32,31,27,50,25,42,48,59,,,,,,,,
03/01/2014,14,-99,50,67,59,36,61,39,68,40,61,42,44,48,37,34,72,60,55,62,57,,,,,,,,
03/01/2014,15,-99,67,71,56,48,62,45,68,34,68,38,49,56,47,31,80,71,70,81,65,,,,,,,,
03/01/2014,16,-99,27,48,63,51,32,10,59,48,57,53,51,46,47,42,35,23,77,70,62,,,,,,,,
03/01/2014,17,-99,8,24,71,25,61,19,36,17,34,28,38,26,40,58,25,-99,51,19,33,,,,,,,,
03/01/2014,18,-99,43,39,78,44,46,46,36,29,41,87,30,84,56,74,39,19,43,67,43,,,,,,,,
03/01/2014,19,-99,60,57,59,65,47,45,48,46,57,83,43,84,60,55,56,89,73,132,62,,,,,,,,
03/01/2014,20,-99,54,77,46,52,62,74,55,42,72,65,56,55,42,14,77,86,67,74,127,,,,,,,,
03/01/2014,21,-99,44,68,48,26,122,56,67,46,100,49,69,34,49,90,76,80,61,154,131,,,,,,,,
03/01/2014,22,-99,36,58,33,30,148,54,66,58,74,30,79,45,66,42,72,77,68,165,86,,,,,,,,
03/01/2014,23,-99,34,61,36,49,107,34,44,45,63,26,51,43,53,32,71,50,64,94,93,,,,,,,,
03/01/2014,24,-99,26,39,31,23,108,32,44,35,61,22,54,36,37,29,64,43,63,121,82,,,,,,,,
04/01/2014,1,-99,19,31,25,26,79,26,40,32,60,31,80,55,49,48,54,34,67,62,95,,,,,,,,
04/01/2014,2,-99,19,25,12,32,44,20,41,50,54,24,84,55,42,30,49,35,62,68,100,,,,,,,,
04/01/2014,3,-99,19,21,14,34,29,19,41,43,58,33,60,69,33,22,35,30,44,60,99,,,,,,,,
04/01/2014,4,-99,20,24,25,14,26,17,52,43,58,26,66,29,30,29,33,35,43,55,80,,,,,,,,
04/01/2014,5,-99,25,28,25,9,42,18,49,45,55,20,65,22,33,24,26,78,58,77,103,,,,,,,,
04/01/2014,6,-99,31,35,32,23,36,15,42,36,54,23,58,27,29,29,28,66,57,72,137,,,,,,,,
04/01/2014,7,-99,47,54,64,14,62,25,42,36,56,8,59,26,34,28,37,74,51,65,146,,,,,,,,
04/01/2014,8,-99,65,57,103,15,74,44,46,36,70,27,60,33,40,47,42,110,51,83,106,,,,,,,,
04/01/2014,9,-99,61,63,104,17,126,55,60,32,88,24,85,32,29,58,52,106,54,97,127,,,,,,,,
04/01/2014,10,-99,49,83,106,22,107,54,66,34,96,53,69,40,40,67,60,104,77,59,127,,,,,,,,
04/01/2014,11,-99,48,96,98,34,123,77,91,56,96,62,83,76,46,72,73,100,84,87,120,,,,,,,,
04/01/2014,12,-99,34,77,-99,14,90,33,75,67,86,59,57,69,35,-99,60,18,96,50,92,,,,,,,,
04/01/2014,13,-99,54,52,-99,13,41,32,84,40,56,47,26,39,25,-99,42,8,69,-99,42,,,,,,,,
04/01/2014,14,-99,31,52,11,4,38,26,51,37,47,39,40,14,18,4,45,-99,60,23,64,,,,,,,,
04/01/2014,15,-99,23,45,1,13,37,19,39,38,48,43,40,13,16,16,49,2,59,38,59,,,,,,,,
04/01/2014,16,-99,13,41,34,13,23,31,34,22,53,45,51,20,22,21,47,21,47,42,77,,,,,,,,
04/01/2014,17,-99,15,42,134,25,17,26,44,29,44,40,68,29,24,21,32,22,46,48,116,,,,,,,,
04/01/2014,18,-99,29,34,97,17,55,7,41,37,58,30,44,36,55,68,26,26,49,76,90,,,,,,,,
04/01/2014,19,-99,40,32,47,28,59,20,28,50,62,27,39,33,26,68,32,41,68,158,87,,,,,,,,
04/01/2014,20,-99,42,41,46,29,75,40,17,50,51,33,54,36,40,61,45,52,54,156,67,,,,,,,,
04/01/2014,21,-99,28,65,47,26,66,36,30,60,58,16,51,19,40,78,51,78,55,62,78,,,,,,,,
04/01/2014,22,-99,47,58,42,28,168,42,56,48,76,22,49,20,48,52,43,103,62,117,100,,,,,,,,
04/01/2014,23,-99,42,46,59,23,66,28,42,48,78,31,52,22,34,68,39,65,50,187,76,,,,,,,,
04/01/2014,24,-99,32,32,77,9,46,30,46,52,66,29,70,22,51,37,43,65,56,127,114,,,,,,,,
05/01/2014,1,-99,30,27,67,15,44,29,40,63,66,27,58,20,42,31,24,78,56,100,99,,,,,,,,
05/01/2014,2,-99,32,21,51,22,35,24,45,53,72,26,66,23,36,29,28,78,69,78,80,,,,,,,,
05/01/2014,3,-99,33,21,29,29,31,27,43,53,64,24,66,31,34,34,31,66,63,93,102,,,,,,,,
05/01/2014,4,-99,30,22,47,20,30,26,44,43,60,33,53,27,35,24,27,47,55,50,77,,,,,,,,
05/01/2014,5,-99,23,21,45,12,25,23,54,43,76,19,52,30,40,32,24,44,60,66,84,,,,,,,,
05/01/2014,6,-99,26,22,31,24,35,16,47,47,63,39,52,27,36,23,25,45,51,84,77,,,,,,,,
05/01/2014,7,-99,33,34,42,15,59,17,46,48,60,28,44,25,37,31,22,55,47,95,83,,,,,,,,
05/01/2014,8,-99,47,42,97,15,82,40,45,44,79,22,54,33,51,36,33,87,71,126,94,,,,,,,,
05/01/2014,9,-99,56,41,85,21,146,35,46,58,78,35,81,29,47,63,52,70,85,102,98,,,,,,,,
05/01/2014,10,-99,59,59,74,25,72,36,74,57,76,37,80,33,43,54,113,63,80,8,118,,,,,,,,
05/01/2014,11,-99,56,82,70,33,91,42,76,52,68,56,78,51,55,49,103,78,86,-99,92,,,,,,,,
05/01/2014,12,-99,64,68,13,43,64,52,64,49,63,58,82,52,53,51,75,42,84,85,62,,,,,,,,
05/01/2014,13,-99,56,47,46,44,48,51,43,36,57,71,65,53,50,-99,65,50,89,60,50,,,,,,,,
05/01/2014,14,-99,81,50,49,33,63,46,58,42,57,64,42,69,36,37,59,79,55,74,42,,,,,,,,
05/01/2014,15,-99,59,48,69,20,50,44,58,34,64,59,45,66,23,50,75,42,43,70,54,,,,,,,,
05/01/2014,16,-99,22,55,56,19,20,64,58,37,58,39,62,21,22,19,78,42,51,25,104,,,,,,,,
05/01/2014,17,-99,16,68,62,30,31,41,47,39,65,42,69,54,-99,32,55,14,47,-99,88,,,,,,,,
05/01/2014,18,-99,36,54,32,55,53,22,70,38,81,36,38,62,83,54,49,-99,47,74,56,,,,,,,,
05/01/2014,19,-99,2,33,28,34,46,24,46,50,49,45,51,40,44,45,47,32,50,98,72,,,,,,,,
05/01/2014,20,-99,-99,54,49,14,54,32,37,46,51,35,73,22,32,-99,55,76,53,74,62,,,,,,,,
05/01/2014,21,-99,43,54,56,21,78,43,59,42,58,38,42,31,36,-99,33,31,56,67,63,,,,,,,,
05/01/2014,22,-99,50,48,46,16,67,51,55,39,59,43,36,34,50,48,43,43,-99,109,95,,,,,,,,
