FECHA,HORA,TAC,FAC,SAG,TLA,XAL,MER,PED,CES,TLI,ATI,VIF,PLA,LAG,AZC,UIZ,TAX,SUR,IZT
01/01/2009,1,22,18,18,21,20,28,19,27,26,28,-99,20,21,22,30,-99,-99,28
01/01/2009,2,22,22,15,28,27,26,19,24,26,28,-99,19,19,27,30,-99,-99,24
01/01/2009,3,30,23,15,30,27,26,21,21,28,23,-99,22,21,30,31,-99,-99,36
01/01/2009,4,31,-99,23,29,26,29,25,25,31,25,-99,25,22,30,33,-99,-99,31
01/01/2009,5,29,-99,21,25,22,28,27,25,34,24,-99,25,21,27,33,-99,-99,28
01/01/2009,6,27,-99,21,22,22,27,25,24,34,22,-99,23,20,22,31,-99,-99,27
01/01/2009,7,26,-99,20,20,20,29,24,23,28,19,-99,22,20,21,30,-99,-99,25
01/01/2009,8,24,-99,21,18,20,32,24,21,26,18,-99,22,20,20,30,-99,-99,25
01/01/2009,9,31,-99,21,27,23,30,28,26,27,24,-99,32,22,26,36,-99,-99,27
01/01/2009,10,43,-99,20,35,31,37,32,35,33,17,-99,39,27,37,42,-99,-99,30
01/01/2009,11,44,-99,28,29,27,39,29,39,39,18,-99,38,30,37,28,-99,-99,35
01/01/2009,12,38,-99,24,26,21,-99,22,32,41,16,-99,34,28,35,24,-99,-99,33
01/01/2009,13,24,-99,19,31,19,-99,22,18,21,13,-99,26,22,22,19,-99,-99,27
01/01/2009,14,19,-99,11,13,15,19,19,20,12,11,-99,20,14,18,17,-99,-99,16
01/01/2009,15,12,-99,8,11,14,15,15,18,9,11,-99,13,6,10,14,-99,-99,15
01/01/2009,16,12,-99,9,13,15,15,11,13,11,15,-99,12,5,11,10,-99,-99,10
01/01/2009,17,13,-99,9,13,18,22,13,20,12,19,-99,16,10,14,13,-99,-99,15
01/01/2009,18,18,-99,14,18,27,26,16,24,13,22,-99,22,21,20,15,-99,-99,15
01/01/2009,19,39,-99,29,45,40,33,33,35,28,27,-99,36,39,44,31,-99,-99,33
01/01/2009,20,56,-99,33,44,36,45,52,45,36,41,-99,53,40,49,46,-99,-99,46
01/01/2009,21,31,-99,30,32,31,34,48,31,21,40,-99,48,24,36,33,-99,-99,36
01/01/2009,22,41,-99,29,34,31,35,44,28,34,39,-99,39,26,36,35,-99,-99,32
01/01/2009,23,40,-99,30,34,32,38,31,27,36,27,-99,34,32,34,38,-99,-99,34
01/01/2009,24,31,-99,-99,-99,35,-99,-99,32,32,14,-99,25,29,30,-99,-99,-99,-99
02/01/2009,1,27,-99,30,29,30,34,12,31,34,10,-99,23,27,24,38,-99,-99,31
02/01/2009,2,25,-99,26,24,25,33,8,29,33,11,-99,14,25,25,35,-99,-99,31
02/01/2009,3,14,-99,26,17,21,34,7,27,33,8,-99,13,20,23,33,-99,-99,29
02/01/2009,4,14,-99,25,14,23,32,8,27,30,6,-99,8,24,16,35,-99,-99,28
02/01/2009,5,22,-99,25,24,22,31,13,26,28,11,-99,8,26,12,33,-99,-99,29
02/01/2009,6,29,-99,26,27,30,33,12,31,33,20,-99,17,26,23,33,-99,-99,28
02/01/2009,7,30,-99,25,28,34,32,26,28,34,27,-99,32,30,25,32,-99,-99,28
02/01/2009,8,34,-99,26,28,41,42,29,28,30,30,-99,37,36,28,32,-99,-99,32
02/01/2009,9,44,-99,33,33,39,48,33,40,35,33,-99,38,37,32,43,-99,-99,46
02/01/2009,10,89,-99,49,46,57,81,40,44,54,38,-99,51,55,49,57,-99,-99,62
02/01/2009,11,101,-99,58,41,55,97,44,40,58,55,-99,43,91,62,40,-99,-99,72
02/01/2009,12,89,-99,48,49,42,80,35,32,42,47,-99,33,82,73,31,-99,-99,66
02/01/2009,13,52,40,19,33,20,43,17,23,24,46,-99,17,-99,32,23,-99,-99,26
02/01/2009,14,26,30,10,29,18,17,15,18,29,30,-99,22,-99,22,17,-99,-99,15
02/01/2009,15,31,32,14,36,13,31,23,24,26,19,-99,30,17,27,21,-99,-99,18
02/01/2009,16,42,41,16,31,13,42,29,31,21,20,-99,36,32,37,25,-99,-99,22
02/01/2009,17,46,29,16,36,15,53,29,25,21,19,-99,37,38,34,29,-99,-99,38
02/01/2009,18,53,32,38,46,42,35,35,48,26,20,-99,40,61,38,31,-99,-99,53
02/01/2009,19,93,70,55,68,84,-99,55,58,63,60,-99,77,77,83,30,-99,-99,61
02/01/2009,20,76,60,58,57,49,-99,59,59,71,36,-99,77,74,74,54,-99,-99,54
02/01/2009,21,48,77,57,73,58,76,66,53,66,55,-99,47,60,52,70,-99,-99,68
