"Fecha","NO","NE","CE","SO","SE"
"ene.",17.7095435684647,17.3706777316736,16.9211618257261,13.344398340249,14.0926694329184
"feb.",16.8833087149188,16.5243722304284,16.7415066469719,12.165435745938,12.9113737075332
"mar.",15.118948824343,13.9778699861687,16.0414937759336,12,13.1811894882434
"abr.",12.262482168331,10.6861626248217,11.9215406562054,8.03423680456491,9.70898716119829
"may.",12.2972222222222,10.2680555555556,11.8569444444444,7.85972222222222,9.19305555555556
"jun.",10.1314285714286,7.27857142857143,9.86714285714286,6.89714285714286,7.66857142857143
"jul.",11.448132780083,9.14502762430939,11.3582295988935,7.73858921161826,9.15491009681881
"ago.",10.8038674033149,9.25414364640884,10.9779005524862,7.49861878453039,9.7085635359116
"sep.",11.8157142857143,9.34571428571429,11.6614285714286,8.28142857142857,10.5614285714286
"oct.",14.8216735253772,11.3072702331962,14.4362139917695,9.86145404663923,12.271978021978
"nov.",16.641134751773,13.4737588652482,16.9502840909091,12.5191489361702,15.4
"dic.",17.9588477366255,15.5816186556927,18.0041152263374,12.4677640603567,13.8943758573388
