"Fecha","NO","NE","CE","SO","SE"
"ene.",78.2903225806452,99.8333333333333,74.7029569892473,51.7889784946237,81.002688172043
"feb.",75.9553571428571,98.6086309523809,66.5148809523809,43.9523809523809,82.8601190476191
"mar.",79.1814516129032,100.564516129032,71.8655913978495,50.6626344086022,81.2661290322581
"abr.",86.2458333333333,95.7513888888889,80.9666666666667,66.1986111111111,92.8059259259259
"may.",86.7674731182796,93.1092669432918,79.135752688172,68.0698924731183,86.84375
"jun.",45.2770745428973,53.4944444444444,40.6833333333333,31.7527777777778,42.3390092879257
"jul.",44.0412087912088,53.3575268817204,41.0524193548387,32.3561827956989,37.7980769230769
"ago.",45.0430107526882,59.1733870967742,39.6639784946237,31.8655913978495,40.8074074074074
"sep.",43.9025787965616,52.1666666666667,43.6333333333333,31.8803418803419,41.5536809815951
"oct.",43.9126344086022,48.4529569892473,38.5793010752688,28.6253443526171,36.8598382749326
"nov.",62.7527777777778,81.8361111111111,59.0777777777778,39.8279266572638,56.5680555555556
"dic.",85.8413978494624,98.3145161290323,82.9623655913979,57.0604838709677,85.4546684709066
