"Fecha","NO","NE","CE","SO","SE"
"ene.",6.24229691876751,7.52521008403361,6.13025210084034,4.09663865546218,5.54277699859748
"feb.",5.43243243243243,7.23273273273273,5.19369369369369,3.78828828828829,5.21771771771772
"mar.",4.40476190476191,5.28151260504202,4.42577030812325,3.09243697478992,4.58403361344538
"abr.",3.29275362318841,4.04782608695652,3.58115942028985,2.35797101449275,3.58260869565217
"may.",3.35977337110482,4.23937677053824,3.74220963172805,2.61189801699717,3.45609065155807
"jun.",3.13391557496361,3.07714701601164,3.33478893740902,2.35953420669578,2.65211062590975
"jul.",3.79915730337079,3.65217391304348,3.98033707865169,2.81179775280899,3.36095505617978
"ago.",3.74229691876751,3.91176470588235,3.796918767507,2.74649859943978,3.83333333333333
"sep.",3.65166908563135,3.47024673439768,3.37735849056604,2.69230769230769,3.84760522496372
"oct.",3.91456582633053,4.72268907563025,4.36694677871148,2.72919605077574,4.21288515406162
"nov.",4.47391304347826,6.55942028985507,5.17851959361393,3.6695652173913,5.51739130434783
"dic.",5.70728291316527,7.71148459383754,5.36134453781513,3.84033613445378,5.44817927170868
