"Fecha","NO","NE","CE","SO","SE"
"ene.",21.2323651452282,21.8132780082988,18.0525587828492,27.417704011065,22.7040110650069
"feb.",27.1240768094535,26.8877400295421,24.7592319054653,28.7592319054653,29.1048744460857
"mar.",30.5048409405256,31.7053941908714,32.8616874135546,43.0691562932227,38.3845089903181
"abr.",39.8901569186876,41.1911554921541,42.0199714693295,49.9971469329529,43.8102710413695
"may.",40.5625,42.8819444444444,43.9638888888889,52.2069444444444,46.7583333333333
"jun.",27.5828571428571,28.5042857142857,31.08,34.5,33.68
"jul.",26.32918395574,26.0386740331492,29.2033195020747,33.4495159059474,32.3969571230982
"ago.",20.0994475138122,22.4019337016575,20.6906077348066,27.578729281768,26.1850828729282
"sep.",21.52,23.6914285714286,20.6942857142857,26.8471428571429,25.2385714285714
"oct.",24.6858710562414,27.4705075445816,25.9753086419753,33.002743484225,31.0480769230769
"nov.",21.931914893617,26.9035460992908,23.8366477272727,31.6992907801418,29.2283687943262
"dic.",22.7064471879287,25.883401920439,21.076817558299,27.5377229080933,28.60219478738
