"mes","mean.TLA","mean.MER","mean.UIZ","mean.PED","mean.SAG","mean.XAL","cont"
"01/2005",1.75337001375516,2.07070844686648,1.72948369565217,1.7974043715847,1.22567934782609,1.49891008174387,744
"01/2006",1.91454293628809,1.69728997289973,1.42389502762431,1.70575427682737,2.18607594936709,2.26357435197817,744
"01/2007",1.45653370013755,1.36620498614958,1.12643051771117,0.926258503401361,1.63411078717201,1.76101449275362,744
"01/2008",1.14722222222222,1.24666666666667,1.68541666666667,0.505931034482759,1.54181568088033,1.18917018284107,744
"01/2009",1.34,1.97300275482094,1.22765667574932,0.672540983606557,1.03080110497238,1.25095367847411,744
"01/2010",0.99591280653951,1.51447368421053,1.19835616438356,0.653269754768392,1.29703389830508,1.41440559440559,744
"01/2011",1.24507628294036,1.51820809248555,0.945384615384615,0.643070652173913,1.26446280991736,1.43351648351648,744
"01/2012",0.976628895184136,1.28331034482759,1.24305364511692,0.609278350515464,0.92412746585736,1.23539094650206,744
"01/2013",1.07289325842697,1.24008498583569,1.15793103448276,0.643069306930693,NA,1.22071428571429,744
"01/2014",1.04161764705882,1.32513888888889,1.03504867872045,0.591151685393258,NA,1.23681241184767,744
"01/2015",1.10573476702509,1.2073305670816,0.977685950413223,0.448895027624309,0.921994535519126,1.30342465753425,744
"01/2016",1.06815020862309,1.20242165242165,0.941160220994475,0.608534850640114,1.05589459084605,1.43106796116505,744
"01/2017",1.03954198473282,1.19646643109541,0.968523676880223,0.669078014184397,0.811854684512428,1.44524822695035,744
"01/2018",0.548413793103448,0.611853088480801,0.619862068965517,0.368194444444444,0.590449438202247,0.845468509984639,744
"01/2019",0.676404494382022,0.607876230661041,0.514265536723164,0.382963988919668,0.631966053748232,0.722701949860724,744
"01/2020",0.526166666666667,0.583161512027491,0.390953150242326,0.304709219858156,0.534496453900709,0.683080168776371,744
"02/2005",1.5308734939759,1.56995447647951,1.40907715582451,1.50513595166163,1.20993883792049,1.43246153846154,672
"02/2006",1.57247278382582,1.34341692789969,1.19985052316891,1.32331838565022,0.581756756756757,2.01340361445783,672
