"mes","mean.TLA","mean.MER","mean.UIZ","mean.PED","mean.SAG","mean.XAL","cont"
2005-01-01,25.3372093023256,24.5572207084469,36.7350543478261,41.077868852459,28.2459239130435,28.7693370165746,744
2005-02-01,28.9248466257669,23.0218408736349,34.2027231467474,37,25.4725609756098,25.0107692307692,672
2005-03-01,27.0599415204678,24.7849162011173,33.9181692094313,32.5027322404372,26.0991847826087,25.4355495251018,744
2005-04-01,38.5058139534884,40.9067796610169,45.8858858858859,48.4928774928775,40.034188034188,37.3168316831683,720
2005-05-01,41.0192616372392,43.2978142076503,47.6304347826087,50.3528610354223,43.771349862259,40.3693570451436,744
2005-06-01,29.3461538461538,28.4720588235294,35.620979020979,37.3398876404494,36.5021156558533,26.430985915493,720
2005-07-01,24.827397260274,23.4547983310153,28.6612466124661,33.4173441734417,30.7035040431267,20.863436123348,744
2005-08-01,23.7636363636364,20.5313351498638,26.8340136054422,30.5689189189189,25.3211382113821,20.7016348773842,744
2005-09-01,24.4739195230999,23.748427672956,27.9908396946565,31.3929577464789,26.2153846153846,20.0771388499299,720
2005-10-01,20.6782246879334,19.7417582417582,22.7233748271093,26.1509971509971,20.8225806451613,16.1831750339213,744
2005-11-01,21.2952086553323,21.5070224719101,25.4589235127479,29.9790502793296,25.0126939351199,22.0632911392405,720
2005-12-01,20.5568181818182,30.7211948790896,27.4470108695652,32.8563611491108,29.8230337078652,25.123473541384,744
2006-01-01,24.2635983263598,34.3550135501355,26.1867219917012,35.7729323308271,33.0253164556962,26.8281036834925,744
2006-02-01,27.5248344370861,29.8699059561129,33.5484848484848,42.4018547140649,30.0878378378378,28.9593373493976,672
2006-03-01,29.1988555078684,27.0291262135922,30.2923538230885,38.2459239130435,29.9300134589502,28.1542625169147,744
2006-04-01,37.3735795454545,33.9015918958032,40.4388185654008,49.6780141843972,36.9888423988842,31.1161387631976,720
2006-05-01,38.698347107438,32.9175675675676,39.3120759837178,44.7896879240163,36.7595628415301,31.4904891304348,744
2006-06-01,30.5969101123596,25.6289398280802,33.2703081232493,35.634328358209,28.0967741935484,23.8846694796062,720
2006-07-01,23.7225274725275,19.2039274924471,24.4090267983075,29.8244170096022,21.0664857530529,17.2332878581173,744
2006-08-01,24.5088195386703,20.9877049180328,26.1961852861035,28.9268656716418,21.2732316227462,19.9409340659341,744
2006-09-01,26.1781206171108,22.202005730659,27.6056338028169,31.375,21.7597684515195,18.0732064421669,720
2006-10-01,23.9632152588556,18.1996644295302,24.491825613079,23.7994579945799,20.3091655266758,20.3058984910837,744
2006-11-01,25.4076163610719,19.8251057827927,26.6044880785414,26.3901408450704,20.998420221169,22.4540311173975,720
2006-12-01,25.1991814461119,14.7762619372442,25.2032520325203,27.0234806629834,19.3048433048433,21.3486486486486,744
