FECHA,HORA,MER,TLA,COY,UIZ,SJA,SAG,PER,CAM,ACO
05/01/2010,2,13,2,6,10,5,3,9,-99,5
05/01/2010,3,13,3,7,6,8,1,12,-99,4
05/01/2010,4,10,3,4,9,4,4,6,-99,5
05/01/2010,5,13,4,2,4,4,3,7,-99,6
05/01/2010,6,15,7,3,6,6,6,8,-99,4
05/01/2010,7,21,12,5,9,12,14,6,-99,15
05/01/2010,8,25,14,6,10,17,11,16,-99,10
05/01/2010,9,23,17,9,16,15,16,18,-99,8
05/01/2010,10,28,22,14,16,15,22,18,-99,8
05/01/2010,11,33,19,17,23,18,14,21,-99,1
05/01/2010,12,36,22,22,25,30,14,28,-99,3
05/01/2010,13,43,35,27,35,39,12,32,-99,20
05/01/2010,14,41,41,35,29,24,14,31,-99,20
05/01/2010,15,41,44,44,40,15,18,50,-99,15
05/01/2010,16,34,51,54,46,19,14,45,-99,11
05/01/2010,17,27,47,55,45,20,15,45,-99,18
05/01/2010,18,34,50,57,41,25,15,29,-99,13
05/01/2010,19,41,54,52,15,29,19,19,-99,28
05/01/2010,20,36,45,24,8,12,21,20,-99,23
05/01/2010,21,7,36,10,4,11,18,30,-99,15
05/01/2010,22,17,25,20,5,13,16,23,-99,24
05/01/2010,23,29,26,31,14,15,22,24,-99,17
05/01/2010,24,29,24,27,18,21,-99,28,-99,16
06/01/2010,1,31,25,27,23,24,-99,17,-99,13
06/01/2010,2,30,32,27,21,13,22,19,-99,21
06/01/2010,3,32,33,22,20,17,25,17,-99,17
06/01/2010,4,26,37,17,19,22,26,16,-99,21
06/01/2010,5,27,40,19,16,26,26,19,-99,18
06/01/2010,6,24,42,20,19,18,27,18,-99,20
06/01/2010,7,25,43,21,20,25,21,19,-99,26
06/01/2010,8,27,49,23,30,26,23,31,-99,23
06/01/2010,9,32,44,27,35,25,24,32,-99,13
06/01/2010,10,32,43,33,33,41,26,48,-99,19
06/01/2010,11,42,53,42,31,46,-99,39,-99,22
06/01/2010,12,53,54,51,42,30,-99,41,-99,34
06/01/2010,13,45,48,54,27,14,45,32,-99,21
06/01/2010,14,30,38,47,13,5,42,15,-99,11
06/01/2010,15,30,28,42,16,25,37,23,-99,10
