FECHA,HORA,AJM,AJU,BJU,CAM,CCA,COY,GAM,HGM,INN,MER,MGH,MPA,NEZ,PED,SAG,SFE,SJA,TLA,UAX,UIZ,XAL,,,,,,,
01/01/2017,1,23,-99,40,57,50,56,-99,-99,13,46,37,-99,62,-99,-99,33,-99,95,82,-99,70,,,,,,,
01/01/2017,2,26,-99,58,74,48,78,-99,-99,12,73,30,-99,109,-99,-99,22,-99,68,103,-99,159,,,,,,,
01/01/2017,3,27,21,71,66,60,99,-99,-99,10,74,49,12,136,-99,-99,18,-99,42,112,-99,175,,,,,,,
01/01/2017,4,27,13,94,77,68,114,-99,-99,11,84,77,18,156,-99,-99,27,-99,45,104,-99,165,,,,,,,
01/01/2017,5,21,14,103,108,71,111,-99,-99,10,100,87,12,179,-99,-99,27,-99,48,112,-99,177,,,,,,,
01/01/2017,6,19,9,88,96,73,104,-99,-99,8,113,85,11,157,-99,-99,21,-99,73,155,-99,148,,,,,,,
01/01/2017,7,19,11,92,63,57,99,-99,-99,10,107,83,15,145,-99,-99,25,-99,122,119,-99,155,,,,,,,
01/01/2017,8,17,10,75,49,33,73,-99,-99,9,104,63,15,137,-99,-99,22,-99,55,87,-99,155,,,,,,,
01/01/2017,9,22,10,82,46,18,65,-99,-99,9,114,53,17,122,-99,-99,21,-99,60,43,-99,191,,,,,,,
01/01/2017,10,35,19,92,62,37,83,-99,-99,17,157,76,28,120,-99,-99,27,-99,81,31,-99,195,,,,,,,
01/01/2017,11,35,1,64,70,51,60,-99,-99,17,125,75,34,105,-99,-99,30,-99,56,35,-99,138,,,,,,,
01/01/2017,12,31,11,43,50,31,43,-99,-99,28,65,58,35,76,-99,-99,28,-99,44,22,-99,82,,,,,,,
01/01/2017,13,33,38,48,45,20,35,-99,-99,29,47,35,26,36,-99,-99,32,-99,40,27,-99,52,,,,,,,
01/01/2017,14,26,37,32,42,25,38,-99,-99,19,40,37,19,20,-99,-99,29,-99,28,7,-99,38,,,,,,,
01/01/2017,15,30,18,27,31,19,37,-99,-99,14,45,31,20,17,-99,-99,28,-99,36,16,-99,42,,,,,,,
01/01/2017,16,25,21,28,34,22,37,-99,-99,15,23,25,16,13,-99,-99,23,-99,36,22,-99,35,,,,,,,
01/01/2017,17,16,22,26,28,19,27,-99,-99,15,20,19,17,6,-99,-99,20,-99,32,16,-99,20,,,,,,,
01/01/2017,18,13,13,14,17,12,18,-99,-99,14,38,16,15,15,-99,-99,25,-99,-99,13,-99,11,,,,,,,
01/01/2017,19,14,15,20,15,13,19,-99,-99,18,11,19,17,11,-99,-99,16,-99,-99,17,-99,23,,,,,,,
01/01/2017,20,16,19,16,17,14,23,-99,-99,17,32,17,15,15,-99,-99,17,-99,-99,17,-99,17,,,,,,,
01/01/2017,21,13,14,19,18,15,25,-99,-99,17,37,18,9,21,-99,-99,18,-99,27,26,-99,20,,,,,,,
01/01/2017,22,15,14,24,18,17,24,-99,-99,14,34,19,14,20,-99,-99,15,-99,17,27,-99,28,,,,,,,
01/01/2017,23,17,14,27,18,18,28,-99,-99,12,43,21,17,27,-99,-99,18,-99,22,31,-99,28,,,,,,,
01/01/2017,24,16,13,28,30,15,34,-99,-99,9,71,23,11,25,-99,-99,15,-99,19,30,-99,50,,,,,,,
02/01/2017,1,17,-99,28,25,17,35,-99,-99,10,52,26,9,25,-99,-99,18,-99,22,25,-99,49,,,,,,,
02/01/2017,2,22,-99,25,17,17,28,-99,-99,10,38,17,8,32,-99,-99,16,-99,19,28,-99,49,,,,,,,
02/01/2017,3,17,-99,24,19,20,19,-99,-99,10,27,19,5,25,-99,-99,14,-99,20,23,-99,39,,,,,,,
02/01/2017,4,11,-99,20,15,13,20,-99,-99,10,29,18,7,21,-99,-99,15,-99,22,18,-99,37,,,,,,,
02/01/2017,5,12,-99,20,17,20,21,-99,-99,11,26,18,8,18,-99,-99,18,-99,25,29,-99,33,,,,,,,
02/01/2017,6,20,-99,23,19,17,25,-99,-99,10,45,17,9,24,-99,-99,15,-99,26,22,-99,34,,,,,,,
02/01/2017,7,21,-99,26,32,18,25,-99,-99,6,41,21,9,25,-99,-99,15,-99,34,21,-99,35,,,,,,,
02/01/2017,8,17,-99,20,35,18,23,-99,-99,6,50,24,7,33,-99,-99,16,-99,23,22,-99,45,,,,,,,
02/01/2017,9,18,-99,19,34,10,22,-99,-99,4,28,27,14,93,-99,-99,12,-99,26,12,-99,60,,,,,,,
02/01/2017,10,20,-99,26,41,13,20,-99,-99,8,24,29,13,105,-99,-99,14,-99,49,11,-99,52,,,,,,,
02/01/2017,11,14,-99,21,45,10,21,-99,-99,7,46,32,18,52,-99,-99,28,-99,42,16,-99,50,,,,,,,
02/01/2017,12,15,36,18,44,14,19,-99,-99,11,36,36,11,38,-99,-99,-99,-99,41,13,-99,25,,,,,,,
02/01/2017,13,14,27,27,34,12,41,-99,-99,18,26,33,15,21,-99,-99,-99,-99,28,6,-99,24,,,,,,,
02/01/2017,14,11,19,26,14,13,26,-99,-99,13,27,33,10,8,-99,-99,-99,-99,25,17,-99,14,,,,,,,
02/01/2017,15,8,17,13,14,11,23,-99,-99,15,16,12,19,10,-99,-99,-99,-99,29,13,-99,5,,,,,,,
02/01/2017,16,11,19,7,23,9,14,-99,-99,12,15,6,32,11,-99,-99,-99,-99,29,14,-99,11,,,,,,,
02/01/2017,17,12,26,12,21,6,16,-99,-99,14,24,13,31,15,-99,-99,13,-99,28,15,-99,16,,,,,,,
02/01/2017,18,17,30,16,30,13,13,-99,-99,12,18,14,31,13,-99,-99,11,-99,27,17,-99,23,,,,,,,
02/01/2017,19,14,32,-99,29,16,21,-99,-99,12,29,17,30,16,-99,-99,15,-99,20,18,-99,24,,,,,,,
02/01/2017,20,12,17,-99,-99,-99,19,-99,-99,15,34,17,27,35,-99,-99,16,-99,29,36,-99,25,,,,,,,
02/01/2017,21,16,32,-99,26,19,22,-99,-99,15,28,28,28,24,-99,-99,18,-99,16,36,-99,23,,,,,,,
02/01/2017,22,20,57,-99,32,18,26,-99,-99,17,20,18,29,46,-99,-99,20,-99,8,40,-99,20,,,,,,,
02/01/2017,23,18,41,-99,32,18,31,-99,-99,17,26,20,28,47,-99,-99,19,-99,26,31,-99,38,,,,,,,
02/01/2017,24,21,25,-99,33,20,35,-99,-99,20,30,22,17,38,-99,-99,19,-99,34,29,-99,44,,,,,,,
03/01/2017,1,18,24,-99,29,17,30,-99,-99,19,22,24,25,42,-99,-99,16,-99,25,39,-99,53,,,,,,,
03/01/2017,2,17,30,-99,27,21,26,-99,-99,16,29,27,21,48,-99,-99,15,-99,23,42,-99,42,,,,,,,
03/01/2017,3,17,23,-99,23,26,35,-99,-99,15,34,26,17,63,-99,-99,20,-99,23,47,-99,46,,,,,,,
03/01/2017,4,15,17,-99,29,26,46,-99,-99,13,36,19,18,52,-99,-99,17,-99,23,42,-99,43,,,,,,,
03/01/2017,5,19,13,-99,26,24,40,-99,-99,16,41,29,18,44,-99,-99,18,-99,28,39,-99,48,,,,,,,
03/01/2017,6,14,16,-99,29,21,32,-99,-99,15,29,28,24,40,-99,-99,17,-99,14,36,-99,52,,,,,,,
03/01/2017,7,16,20,-99,30,16,26,-99,-99,18,44,23,25,39,-99,-99,23,-99,31,36,-99,53,,,,,,,
03/01/2017,8,21,21,-99,28,19,23,-99,-99,13,31,38,26,35,-99,-99,24,-99,31,29,-99,58,,,,,,,
03/01/2017,9,20,26,-99,34,15,35,-99,-99,17,54,45,28,45,-99,-99,17,-99,33,30,-99,69,,,,,,,
03/01/2017,10,32,14,-99,44,25,46,-99,-99,14,-99,42,30,55,-99,-99,-99,-99,39,31,-99,72,,,,,,,
03/01/2017,11,36,17,53,45,31,50,-99,-99,15,-99,34,34,52,-99,-99,17,-99,42,26,-99,86,,,,,,,
03/01/2017,12,28,41,42,41,32,42,-99,-99,18,-99,31,27,47,-99,-99,16,-99,41,28,-99,89,,,,,,,
03/01/2017,13,25,41,36,36,23,38,-99,-99,19,-99,28,17,41,-99,-99,17,-99,39,11,-99,78,,,,,,,
03/01/2017,14,35,34,43,43,23,37,-99,-99,20,-99,34,28,24,-99,-99,36,-99,43,14,-99,47,,,,,,,
03/01/2017,15,34,40,45,39,25,44,-99,-99,20,55,31,40,34,-99,-99,26,-99,38,34,-99,43,,,,,,,
03/01/2017,16,35,46,36,36,27,40,-99,-99,29,46,31,49,37,-99,-99,25,-99,36,36,-99,32,,,,,,,
03/01/2017,17,32,47,27,41,25,22,-99,-99,31,35,28,61,26,-99,-99,29,-99,30,48,-99,31,,,,,,,
03/01/2017,18,36,57,36,31,27,32,-99,-99,35,29,34,42,24,-99,-99,31,-99,32,24,-99,25,,,,,,,
03/01/2017,19,34,49,31,34,33,31,-99,-99,33,25,32,43,29,-99,-99,35,-99,29,30,-99,31,,,,,,,
03/01/2017,20,31,35,35,33,37,41,-99,-99,33,27,35,42,39,-99,-99,38,-99,30,32,-99,22,,,,,,,
03/01/2017,21,33,31,43,45,33,49,-99,-99,33,23,34,37,44,-99,-99,37,-99,46,48,-99,14,,,,,,,
03/01/2017,22,28,29,47,41,33,51,-99,-99,28,21,31,33,56,-99,-99,33,-99,50,42,-99,19,,,,,,,
03/01/2017,23,27,21,42,45,29,50,-99,-99,25,50,27,20,40,-99,-99,25,-99,27,60,-99,22,,,,,,,
03/01/2017,24,21,22,26,37,27,39,-99,-99,16,27,20,23,39,-99,-99,18,-99,24,52,-99,35,,,,,,,
04/01/2017,1,18,13,27,35,23,28,-99,-99,14,38,15,18,32,-99,-99,17,-99,22,53,-99,31,,,,,,,
04/01/2017,2,16,21,25,30,24,26,-99,-99,14,22,11,15,43,-99,-99,13,-99,22,45,-99,52,,,,,,,
04/01/2017,3,13,20,19,22,15,24,-99,-99,12,17,12,11,42,-99,-99,12,-99,16,37,-99,60,,,,,,,
04/01/2017,4,14,20,16,18,18,22,-99,-99,6,29,18,10,38,-99,-99,11,-99,17,32,-99,63,,,,,,,
04/01/2017,5,14,12,21,22,20,26,-99,-99,5,43,23,10,35,-99,-99,11,-99,16,48,-99,63,,,,,,,
04/01/2017,6,10,9,35,40,16,31,-99,-99,3,36,34,9,39,-99,-99,10,-99,21,50,-99,77,,,,,,,
04/01/2017,7,4,6,38,38,11,36,-99,-99,4,54,25,7,38,-99,-99,9,-99,24,42,-99,68,,,,,,,
04/01/2017,8,9,7,47,27,13,35,-99,-99,3,48,34,10,37,-99,-99,9,-99,22,40,-99,70,,,,,,,
04/01/2017,9,6,8,51,-99,12,40,-99,-99,5,44,34,10,33,-99,-99,17,-99,27,29,-99,90,,,,,,,
04/01/2017,10,29,-99,55,-99,22,52,-99,-99,5,57,43,12,35,-99,-99,6,-99,54,23,-99,82,,,,,,,
04/01/2017,11,23,11,65,-99,30,57,-99,-99,6,54,53,20,30,-99,-99,9,-99,54,33,-99,67,,,,,,,
04/01/2017,12,16,19,67,-99,35,44,-99,-99,3,66,48,7,32,-99,-99,7,-99,38,38,-99,70,,,,,,,
04/01/2017,13,6,21,45,-99,20,25,-99,-99,5,47,27,8,33,-99,-99,9,-99,18,13,-99,46,,,,,,,
04/01/2017,14,7,22,26,6,10,22,-99,-99,7,43,18,23,29,-99,-99,9,-99,20,11,-99,8,,,,,,,
04/01/2017,15,11,18,19,12,11,21,-99,-99,6,6,15,31,15,-99,-99,12,-99,9,10,-99,15,,,,,,,
04/01/2017,16,10,23,21,16,6,18,-99,-99,13,16,21,23,12,-99,-99,17,-99,16,-99,-99,-99,,,,,,,
04/01/2017,17,18,22,17,16,14,13,-99,-99,10,12,9,18,13,-99,-99,11,-99,18,9,-99,-99,,,,,,,
04/01/2017,18,16,21,17,17,11,15,-99,-99,15,30,18,13,16,-99,-99,10,-99,17,9,-99,-99,,,,,,,
04/01/2017,19,20,30,21,21,24,24,-99,-99,21,24,19,19,18,-99,-99,24,-99,22,21,-99,12,,,,,,,
04/01/2017,20,24,19,25,31,25,30,-99,-99,24,16,28,25,20,-99,-99,29,-99,26,21,-99,12,,,,,,,
04/01/2017,21,23,15,36,22,30,43,-99,-99,29,3,28,23,24,-99,-99,32,-99,14,19,-99,17,,,,,,,
04/01/2017,22,16,23,31,34,31,46,-99,-99,21,20,20,20,36,-99,-99,27,-99,34,22,-99,30,,,,,,,
04/01/2017,23,17,22,33,26,22,30,-99,-99,12,16,18,-99,43,-99,-99,17,-99,28,47,-99,33,,,,,,,
04/01/2017,24,11,23,27,22,15,19,-99,-99,11,66,21,-99,41,-99,-99,11,-99,18,42,-99,44,,,,,,,
05/01/2017,1,10,17,22,27,11,29,-99,-99,13,38,23,-99,42,-99,-99,8,-99,13,60,-99,49,,,,,,,
05/01/2017,2,5,13,50,19,31,56,-99,-99,5,24,24,-99,53,-99,-99,8,-99,11,65,-99,24,,,,,,,
05/01/2017,3,7,9,46,22,43,53,-99,-99,4,49,17,-99,68,-99,-99,7,-99,19,47,-99,33,,,,,,,
05/01/2017,4,9,9,40,15,32,49,-99,-99,4,55,14,-99,73,-99,-99,7,-99,12,39,-99,58,,,,,,,
05/01/2017,5,9,5,27,24,24,40,-99,-99,5,46,14,-99,50,-99,-99,4,-99,14,38,-99,71,,,,,,,
05/01/2017,6,5,11,33,29,11,36,-99,-99,8,73,20,-99,37,-99,-99,9,-99,6,27,-99,175,,,,,,,
05/01/2017,7,4,12,32,34,9,35,-99,-99,5,92,36,-99,39,-99,-99,10,-99,12,29,-99,162,,,,,,,
05/01/2017,8,5,8,29,41,19,34,-99,-99,6,88,43,-99,46,-99,-99,16,-99,11,37,-99,137,,,,,,,
05/01/2017,9,10,4,39,50,17,43,-99,-99,-99,77,32,-99,54,-99,-99,8,-99,15,27,-99,117,,,,,,,
