FECHA,HORA,AJM,AJU,BJU,CAM,CCA,COY,GAM,HGM,INN,MER,MGH,MPA,NEZ,PED,SAG,SFE,SJA,TLA,UAX,UIZ,XAL,,,,,,,
02/01/2016,17,-99,19,-99,22,19,22,-99,18,-99,-99,14,-99,9,-99,19,-99,-99,39,12,-99,26,,,,,,,
02/01/2016,18,-99,17,-99,18,19,14,-99,19,-99,4,21,-99,17,-99,20,-99,-99,30,22,-99,18,,,,,,,
02/01/2016,19,-99,23,-99,17,24,13,-99,12,-99,35,14,-99,12,-99,32,-99,-99,26,20,-99,19,,,,,,,
02/01/2016,20,-99,16,-99,14,17,13,-99,21,-99,29,21,-99,20,-99,41,-99,-99,20,21,-99,21,,,,,,,
02/01/2016,21,-99,8,-99,23,11,18,-99,22,-99,23,15,-99,22,-99,41,-99,-99,15,20,-99,22,,,,,,,
02/01/2016,22,-99,17,-99,26,18,19,-99,12,-99,14,9,-99,27,-99,25,-99,-99,33,19,-99,29,,,,,,,
02/01/2016,23,-99,10,-99,17,17,11,-99,25,-99,40,12,-99,24,-99,43,-99,-99,21,33,-99,32,,,,,,,
02/01/2016,24,-99,3,25,17,19,25,-99,26,-99,16,24,-99,18,-99,28,-99,-99,15,30,-99,34,,,,,,,
03/01/2016,1,14,9,26,31,25,28,-99,23,-99,38,20,-99,21,-99,39,-99,-99,29,29,-99,32,,,,,,,
03/01/2016,2,13,4,23,15,-99,25,-99,24,-99,28,22,-99,22,-99,34,-99,-99,28,34,-99,29,,,,,,,
03/01/2016,3,16,5,25,25,-99,25,-99,25,-99,25,20,-99,26,-99,45,-99,-99,32,25,-99,31,,,,,,,
03/01/2016,4,23,3,22,28,-99,19,-99,23,-99,26,20,-99,30,-99,40,-99,-99,27,34,-99,26,,,,,,,
03/01/2016,5,23,2,17,13,-99,15,-99,20,-99,31,20,-99,31,-99,60,-99,-99,31,30,-99,34,,,,,,,
03/01/2016,6,19,7,23,9,-99,17,-99,34,-99,41,22,-99,27,-99,59,-99,-99,37,26,-99,41,,,,,,,
03/01/2016,7,19,4,34,22,-99,32,-99,34,-99,37,18,-99,18,-99,40,-99,-99,40,18,-99,47,,,,,,,
03/01/2016,8,19,9,31,44,-99,30,-99,31,-99,24,33,-99,16,-99,43,-99,-99,45,30,-99,52,,,,,,,
03/01/2016,9,25,6,34,36,-99,31,-99,34,-99,33,23,-99,25,-99,71,-99,-99,35,26,-99,58,,,,,,,
03/01/2016,10,32,11,44,35,-99,38,-99,48,-99,42,29,-99,30,-99,57,-99,-99,36,25,-99,61,,,,,,,
03/01/2016,11,37,24,47,33,-99,45,-99,38,-99,63,36,-99,28,-99,32,-99,-99,32,32,-99,48,,,,,,,
03/01/2016,12,45,35,51,35,-99,54,-99,32,-99,56,36,-99,26,-99,57,-99,-99,19,30,-99,42,,,,,,,
03/01/2016,13,45,45,59,30,-99,55,-99,28,-99,49,36,-99,25,-99,35,-99,-99,13,20,-99,27,,,,,,,
03/01/2016,14,54,47,52,40,-99,43,-99,27,-99,53,42,-99,23,-99,40,-99,-99,22,27,-99,46,,,,,,,
03/01/2016,15,43,38,45,42,-99,41,-99,32,-99,28,39,-99,27,-99,37,-99,-99,20,23,-99,29,,,,,,,
03/01/2016,16,48,22,42,25,-99,38,-99,34,-99,61,40,-99,27,-99,43,-99,-99,26,23,-99,29,,,,,,,
03/01/2016,17,48,24,40,22,-99,41,-99,44,-99,11,32,-99,30,-99,50,-99,-99,21,31,-99,19,,,,,,,
03/01/2016,18,29,19,24,27,-99,25,-99,25,-99,15,20,-99,26,-99,36,-99,-99,26,31,-99,27,,,,,,,
03/01/2016,19,20,23,20,20,-99,20,-99,16,-99,42,17,-99,27,-99,38,-99,-99,7,21,-99,13,,,,,,,
03/01/2016,20,16,22,13,16,-99,16,-99,15,-99,1,12,-99,17,-99,50,-99,-99,23,25,-99,22,,,,,,,
03/01/2016,21,20,10,16,9,-99,15,-99,18,-99,24,14,-99,13,-99,26,-99,-99,26,16,-99,17,,,,,,,
03/01/2016,22,16,8,16,15,-99,17,-99,18,-99,-99,17,-99,15,-99,38,-99,-99,30,18,-99,20,,,,,,,
03/01/2016,23,22,13,17,16,-99,18,-99,15,-99,-99,17,-99,16,-99,27,-99,-99,20,19,-99,22,,,,,,,
03/01/2016,24,19,10,19,4,-99,15,-99,19,-99,-99,17,-99,14,-99,32,-99,-99,19,20,-99,15,,,,,,,
04/01/2016,1,21,13,15,11,-99,16,-99,21,-99,-99,17,-99,20,-99,23,-99,-99,27,25,-99,22,,,,,,,
04/01/2016,2,16,14,15,12,-99,14,-99,17,-99,-99,21,-99,19,-99,31,-99,-99,15,19,-99,15,,,,,,,
04/01/2016,3,21,16,18,20,-99,17,-99,18,-99,-99,17,-99,17,-99,44,-99,-99,19,22,-99,23,,,,,,,
