FECHA,HORA,ACO,AJM,ATI,BJU,CAM,CCA,CHO,COY,CUA,CUT,FAC,HGM,INN,IZT,LLA,LPR,MER,MGH,MON,MPA,NEZ,PED,SAG,SFE,SJA,TAH,TLA,TLI,UAX,UIZ,VIF,XAL
01/01/2018,1,23,25,-99,-99,-99,36,-99,-99,31,16,15,33,-99,-99,24,-99,44,21,35,-99,37,32,21,26,-99,44,28,29,-99,52,26,15
01/01/2018,2,19,22,-99,-99,-99,23,-99,-99,18,38,15,28,-99,-99,27,-99,37,15,37,-99,33,25,21,15,-99,37,32,29,-99,44,29,14
01/01/2018,3,15,20,-99,-99,-99,18,-99,-99,16,31,20,29,-99,-99,24,-99,34,16,35,-99,39,19,20,11,-99,45,39,36,-99,39,30,16
01/01/2018,4,14,14,-99,-99,-99,16,-99,-99,18,31,26,35,-99,-99,26,-99,31,18,32,-99,35,15,17,13,-99,32,38,38,-99,37,30,33
01/01/2018,5,14,11,-99,-99,-99,15,-99,-99,19,30,26,39,-99,-99,23,-99,40,21,29,-99,30,19,20,16,-99,34,37,36,-99,41,22,37
01/01/2018,6,18,11,-99,-99,-99,17,-99,-99,28,25,26,39,-99,-99,17,-99,38,27,20,-99,24,19,15,12,-99,29,34,26,-99,39,19,33
01/01/2018,7,13,23,-99,-99,-99,23,-99,-99,20,21,23,36,-99,-99,18,-99,35,20,25,-99,19,23,12,15,-99,24,30,25,-99,24,18,32
01/01/2018,8,10,29,-99,-99,-99,28,-99,-99,22,21,25,31,-99,-99,22,-99,31,23,23,-99,18,28,16,18,-99,18,22,23,-99,22,18,33
01/01/2018,9,9,21,-99,-99,-99,27,-99,-99,26,27,-99,24,-99,-99,21,-99,25,19,15,-99,12,29,16,24,-99,17,18,18,-99,17,18,30
01/01/2018,10,19,18,-99,-99,-99,22,-99,-99,13,23,14,23,-99,-99,19,-99,25,17,9,-99,13,27,14,18,-99,15,21,19,-99,13,17,27
01/01/2018,11,8,22,-99,-99,-99,19,-99,-99,9,10,14,23,-99,-99,16,-99,25,19,6,-99,17,21,14,10,-99,16,20,16,-99,20,14,26
01/01/2018,12,7,18,-99,-99,-99,18,-99,-99,10,12,13,21,-99,-99,15,-99,23,16,6,-99,20,18,12,10,-99,16,25,15,-99,20,8,18
01/01/2018,13,5,17,-99,-99,-99,18,-99,-99,11,10,14,21,-99,-99,10,-99,21,17,5,-99,12,17,8,11,-99,19,20,13,-99,23,9,10
01/01/2018,14,7,14,-99,-99,-99,17,-99,-99,11,7,15,19,-99,-99,9,-99,10,18,3,-99,8,18,6,12,-99,19,16,10,-99,11,8,11
01/01/2018,15,8,14,-99,-99,-99,17,-99,-99,12,6,14,19,-99,-99,11,-99,11,17,3,-99,9,17,9,14,-99,14,13,10,-99,8,7,11
01/01/2018,16,11,14,-99,-99,-99,12,-99,-99,16,5,14,16,-99,-99,9,-99,13,14,2,-99,9,16,12,16,-99,12,14,9,-99,7,5,11
01/01/2018,17,12,12,-99,-99,-99,15,-99,-99,17,6,12,15,-99,-99,10,-99,14,13,3,-99,11,17,7,16,-99,12,14,8,-99,10,5,13
01/01/2018,18,11,21,-99,-99,-99,14,-99,-99,17,9,15,13,-99,-99,8,-99,16,14,4,-99,15,17,13,15,-99,16,-99,9,-99,11,7,14
01/01/2018,19,13,20,-99,-99,-99,16,-99,-99,15,9,18,14,-99,-99,25,-99,18,15,6,-99,18,20,16,15,-99,20,17,12,-99,13,9,16
01/01/2018,20,15,17,-99,-99,-99,18,-99,-99,14,13,20,14,-99,-99,18,-99,16,16,7,-99,17,18,15,15,-99,18,18,12,-99,19,9,11
01/01/2018,21,13,15,-99,-99,-99,18,-99,-99,14,14,18,17,-99,-99,16,-99,15,14,6,-99,17,18,11,15,-99,18,17,11,-99,18,10,8
01/01/2018,22,14,15,-99,-99,-99,16,-99,-99,12,17,19,15,-99,-99,15,-99,12,17,7,-99,16,17,10,13,-99,14,16,12,-99,17,12,10
01/01/2018,23,16,14,-99,-99,-99,17,-99,-99,13,12,17,15,-99,-99,14,-99,15,16,10,-99,20,16,9,14,-99,15,20,16,-99,18,11,15
01/01/2018,24,15,16,-99,-99,-99,16,-99,-99,14,16,14,21,-99,-99,15,-99,17,15,13,-99,23,17,9,15,-99,18,23,15,-99,21,15,20
02/01/2018,1,11,14,-99,-99,-99,14,-99,-99,15,15,17,24,-99,-99,16,-99,22,16,11,-99,22,16,12,18,-99,18,24,14,-99,24,9,18
02/01/2018,2,13,12,-99,-99,-99,16,-99,-99,19,16,18,25,-99,-99,16,-99,19,18,17,-99,17,17,16,19,-99,16,19,12,-99,25,8,20
02/01/2018,3,10,11,-99,-99,-99,19,-99,-99,16,14,16,26,-99,-99,18,-99,20,24,15,-99,16,20,15,14,-99,15,24,13,-99,23,9,21
02/01/2018,4,11,9,-99,-99,-99,18,-99,-99,19,11,15,26,-99,-99,19,-99,25,25,14,-99,16,17,17,15,-99,16,21,8,-99,21,15,19
02/01/2018,5,12,7,-99,-99,-99,17,-99,-99,23,12,16,25,-99,-99,20,-99,23,24,12,-99,19,16,17,14,-99,16,18,9,-99,21,19,20
02/01/2018,6,13,12,-99,-99,-99,17,-99,-99,32,10,16,25,-99,-99,19,-99,23,24,13,-99,20,19,18,18,-99,17,22,18,-99,21,17,24
02/01/2018,7,17,21,-99,-99,-99,14,-99,-99,34,11,17,24,-99,-99,20,-99,23,20,14,-99,18,19,18,30,-99,18,23,20,-99,24,17,22
02/01/2018,8,22,18,-99,-99,-99,15,-99,-99,41,13,18,23,-99,-99,19,-99,31,21,15,-99,19,20,17,28,-99,17,22,21,-99,22,19,23
02/01/2018,9,16,23,-99,-99,-99,22,-99,-99,37,19,24,34,-99,-99,25,-99,43,24,23,-99,20,26,20,25,-99,19,23,22,-99,24,20,30
02/01/2018,10,13,27,-99,-99,-99,34,-99,-99,32,31,33,54,-99,-99,28,-99,42,37,21,-99,21,26,22,25,-99,23,30,32,-99,31,23,35
02/01/2018,11,14,27,-99,-99,-99,44,-99,-99,30,26,45,54,-99,-99,26,-99,41,61,22,-99,38,45,16,38,-99,17,44,50,-99,38,25,33
02/01/2018,12,15,31,-99,-99,-99,49,-99,-99,-99,28,-99,46,-99,-99,19,-99,39,63,18,-99,38,51,16,43,-99,16,60,49,-99,55,46,24
02/01/2018,13,15,18,-99,-99,-99,39,-99,-99,-99,19,-99,39,-99,-99,13,-99,44,45,10,-99,29,40,17,36,-99,14,37,45,-99,51,36,23
02/01/2018,14,14,10,-99,-99,-99,20,-99,-99,17,9,20,19,-99,-99,10,-99,19,21,7,-99,18,22,11,19,-99,9,24,26,-99,21,10,18
